Date,U.S. Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),East Coast (PADD 1) Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),New England (PADD 1A) Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Connecticut Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Maine Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Massachusetts Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),New Hampshire Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Rhode Island Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Vermont Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Central Atlantic (PADD 1B) Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Delaware Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),District of Columbia Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Maryland Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),New Jersey Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),New York Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Pennsylvania Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Lower Atlantic (PADD 1C) Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Florida Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Georgia Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),North Carolina Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),South Carolina Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Virginia Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),West Virginia Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Midwest (PADD 2) Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Illinois Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Indiana Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Iowa Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Kansas Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Kentucky Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Michigan Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Minnesota Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Missouri Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Nebraska Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),North Dakota Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Ohio Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Oklahoma Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),South Dakota Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Tennessee Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Wisconsin Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Gulf Coast (PADD 3) Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Alabama Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Arkansas Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Louisiana Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Mississippi Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),New Mexico Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Texas Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Rocky Mountain (PADD 4) Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Colorado Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Idaho Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Montana Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Utah Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Wyoming Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),West Coast (PADD 5) Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Alaska Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Arizona Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),California Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Hawaii Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Nevada Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Oregon Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons),Washington Total Distillate Sales/Deliveries to Residential Consumers (Thousand Gallons)
1984,8215722,6477746,1962096,479613,167279,906434,156036,149300,103434,3825923,70456,28597,312943,827898,1517545,1068483,689727,25491,11603,288082,60601,278479,25471,1349472,103847,130288,54644,2295,36601,266368,168745,37828,13362,49332,168054,4049,32747,14101,267211,14401,1567,30,99,158,588,11958,61403,5068,21796,16686,6085,11767,312701,61418,28,6538,34,11200,94933,138550
1985,7728057,6056501,1909202,449028,224626,826827,149134,157320,102267,3569584,61239,22798,231140,831584,1426170,996653,577715,26119,16267,224545,53044,236463,21277,1334357,96593,109437,61386,2797,35270,255178,163712,34893,14563,47884,191430,3524,31795,11081,274816,3036,986,21,232,59,607,1131,44706,3920,23432,12747,2746,1860,289456,52493,481,5934,12,11381,95129,124027
1986,8098496,6356812,2074274,547836,268886,874973,153256,141877,87446,3618464,49991,18852,227970,817051,1611838,892762,664074,21908,17230,235618,55614,307284,26420,1405445,98106,128769,62001,1094,30492,262853,178620,36619,12622,47177,204773,1336,46483,7412,287088,3366,1217,34,278,91,1098,649,45204,2479,24928,13807,2934,1056,287669,45879,459,10321,31,10611,88085,132283
1987,8179134,6596744,2103404,546892,257229,874767,185676,150472,88368,3767215,63145,19270,259976,821257,1705655,897913,726125,33907,16137,267655,65943,312637,29845,1296148,86544,125335,55288,969,34514,236656,176409,29693,9150,40635,188894,452,38854,10350,262407,3710,769,40,48,411,327,2114,37305,2172,21123,9071,3723,1217,245228,56364,677,9966,29,11355,61019,105818
1988,8518859,6842982,2237744,627071,284972,884850,176247,171943,92661,3880588,66498,14089,282633,834469,1738701,944198,724651,24931,12302,273796,53464,332782,27375,1373843,93160,122680,48985,1312,38958,255530,192125,27853,8736,42382,204442,1225,40390,9909,286156,2493,1117,35,63,114,324,841,40389,2005,23335,8896,4985,1168,259151,49864,244,8851,68,11286,71483,117356
1989,8648629,6901689,2417886,686835,274107,991111,207964,153441,104429,3831255,63785,7029,248079,768811,1679326,1064225,652549,17517,12884,225742,61869,303435,31102,1404069,79973,117061,53894,1620,37696,241391,227397,23967,12598,46192,231366,20,45547,12373,272972,2231,1055,23,237,200,323,394,48390,1709,22843,14991,7488,1361,292250,66705,296,10578,17,11078,82988,120587
1990,7277365,5808053,2143653,588360,259448,890156,174821,131512,99356,3111865,49794,7694,220592,592045,1366014,875725,552535,12026,12862,183115,51984,263009,29538,1152954,60416,86565,40112,1218,32435,209824,162238,17858,8499,42526,205422,9,40555,11919,233359,1509,751,14,273,40,354,77,44080,1192,23197,12629,6003,1058,270769,67483,410,8737,13,9232,68979,115915
1991,6775589,5401656,2029119,551718,253239,817102,175089,131988,99984,2893984,49927,8106,205297,543537,1228670,858448,478553,11658,8764,157197,49010,225534,26389,1074198,51948,81988,37525,990,29758,192877,173405,18191,8353,38170,178617,3,34008,11357,217006,1099,580,25,60,56,273,105,45628,921,24051,12168,5517,2971,253009,67421,214,8407,16,9344,62806,104802
1992,7291444,6003780,2352734,677218,266252,948330,185640,164860,110434,3150924,52484,8563,224705,564623,1411324,889225,500122,15594,8950,176502,34767,241017,23292,1007648,42976,81601,33490,1240,33067,182056,147363,15396,6251,27609,200534,85,20382,11150,204448,1345,349,410,2,42,468,74,35233,772,20429,7802,4135,2096,243438,79380,258,9914,14,10718,52806,90347
1993,7287196,5942764,2302502,642109,266009,954305,177344,152482,110253,3146775,52774,7640,243159,536266,1334617,972318,493488,14851,10949,172043,38717,230524,26404,1030993,32416,92299,35904,1193,34069,181463,140382,18106,7332,32869,195624,10,25888,8955,224483,1004,528,24,3,107,223,121,42772,1264,23682,10215,5668,1943,269663,82579,345,10003,84,11583,66980,98089
1994,7232733,5979205,2317953,613506,275510,965083,186245,171739,105871,3183440,57602,6514,243401,602566,1306694,966662,477812,12160,5503,159069,32620,239937,28523,945245,32272,73051,38903,1085,32634,161172,135283,14123,6437,29293,195656,5,21432,12085,191812,1603,501,37,483,42,305,235,34039,944,19392,6997,4172,2533,272641,85194,244,10061,77,10244,63388,103434
1995,6859786,5675138,2228279,553290,336839,886113,196452,153064,102521,2971469,49155,12558,217407,531291,1264185,896873,475390,10061,7244,177670,30549,227959,21908,897664,33607,65186,34481,631,31914,168476,136254,19273,3888,31656,176580,480,22137,11489,161614,1037,461,90,62,22,127,275,35858,1540,19431,9608,3187,2092,250088,89404,255,7735,79,7772,56363,88480
