Date,U.S. No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),East Coast (PADD 1) No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),New England (PADD 1A) No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Connecticut No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Maine No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Massachusetts No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),New Hampshire No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Rhode Island No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Vermont No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Central Atlantic (PADD 1B) No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Delaware No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),District of Columbia No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Maryland No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),New Jersey No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),New York No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Pennsylvania No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Lower Atlantic (PADD 1C) No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Florida No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Georgia No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),North Carolina No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),South Carolina No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Virginia No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),West Virginia No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Midwest (PADD 2) No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Illinois No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Indiana No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Iowa No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Kansas No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Kentucky No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Michigan No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Minnesota No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Missouri No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Nebraska No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),North Dakota No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Ohio No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Oklahoma No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),South Dakota No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Tennessee No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Wisconsin No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Gulf Coast (PADD 3) No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Alabama No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Arkansas No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Louisiana No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Mississippi No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),New Mexico No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Texas No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Rocky Mountain (PADD 4) No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Colorado No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Idaho No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Montana No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Utah No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Wyoming No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),West Coast (PADD 5) No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Alaska No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Arizona No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),California No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Hawaii No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Nevada No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Oregon No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day),Washington No. 2 Fuel Oil All Sales/Deliveries by Prime Supplier (Thousand Gallons per Day)
Jan-1983,65251.4,45518.8,12147.6,1605.2,1126.7,7117.5,682.6,1333.5,282.1,27669.2,707.3,276,1984.2,11176.9,8411.4,5113.3,5702,845.4,434.5,1572.2,572.2,2008.4,269.3,13309.1,1210.3,1618,685.7,1307.3,581.7,1449.5,1476.6,487.4,245.1,358.8,1426.1,453.1,233,288.1,1488.3,,99.6,63.4,280.2,91.2,,3210,440.3,105.2,104.5,34.4,126.3,69.9,,187.6,,807.9,,21.7,340.6,808.4
Feb-1983,63848,46811.3,13031.3,1921.4,1094.9,7446.9,655,1637.3,275.7,28276.6,715.3,304.1,2147.1,10834.1,8811.8,5464.3,5503.5,835.5,412.7,1445.1,503.4,2107.4,199.4,11515.3,1014.1,1338.5,578.8,746.6,502.2,1556.9,1124.3,398.3,286.2,332.7,1244.4,738.9,232.1,264.5,1156.9,3796,84.3,142.2,242.4,97.8,30.9,3198.5,,112.9,108.4,25.3,141.6,,,169.6,9.8,213.1,,26.8,268,595.3
Mar-1983,62375.4,39744.5,9983,1712.2,861.9,5537,609,1024.8,238.1,24013.9,721.8,224.3,2050.4,8031.8,8531.4,4454.3,5747.5,839.3,606.6,1470.9,517.3,2089.8,223.6,17420.3,1935.8,2521.9,1036.8,1629.4,557.6,1568.1,1809.5,699.9,537.3,719.6,1217.9,762.7,368.5,394.4,1661.1,,98.1,166.6,474.1,269.8,,1771,673.6,244.6,143.7,86.5,134.5,64.4,,177.7,11.7,619.4,,21.2,254.5,623.5
Apr-1983,53049,32558.4,8638.2,2002,842.4,4306.7,424.8,857.5,204.9,18600.3,745.6,195.7,1542.4,5078.8,7034,4003.8,5319.8,726,652.8,1443.4,502.8,1738.3,256.5,15525.2,1953.9,2240.1,1030.7,991.9,459.8,1377.5,1428.2,654.1,621.7,500.6,1453.3,655.7,314.1,378.4,1465.1,2742.1,99,73.6,245.7,159.7,28.2,2135.9,,236.5,160.7,112.4,138.4,,,174.5,12.3,432.9,,20.8,282.5,583.2
May-1983,36302.8,17209.2,4012.3,728.4,611.4,1789.7,419.1,352.3,111.4,9408.4,349.1,70.5,821.2,2913.6,2486.2,2767.8,3788.5,626.5,467.9,912.9,441,1162.6,177.6,13763.2,1336,1283.1,985.4,1304.2,480.9,1406.6,1646.6,599.1,596.8,629.4,991.3,726.7,349.9,362.2,1065.1,3169.3,122,74.1,130.2,220.3,50.5,2572.2,,253.6,130.3,110.6,145.1,,,133.2,9.1,,,19.5,246.4,501.5
Jun-1983,40598.8,18294.7,3213.1,755.9,287.8,1435.1,255.1,392.6,86.7,10813.9,716.9,60.2,763.5,3567.4,3125.9,2580.1,4267.7,717.5,539.5,1241,518.6,1062.9,188.1,14600.7,1642.4,1537.7,907.3,1113.9,597,1500.5,1464.3,776.2,548.8,509.2,1265.3,728.4,325.7,438,1245.9,5671.9,340.1,120,592.1,174.1,61,4384.6,,315.7,132,137.1,166.1,,,168.5,7.8,307.5,,16,235.9,451.9
Jul-1983,35802.6,15425.4,3303.9,,395,1047.5,232.2,357.7,74.2,7993.4,694.3,92,787.6,2576.2,1556.8,2286.5,4128,706.8,531.3,1264.4,451.8,990.5,183.3,13545.9,1500.5,1092.3,831.4,1102.3,558.7,1203.1,1408,881.7,861.3,450.3,972.7,830.8,388.8,413.8,1050.3,4818,269.8,202.3,750.4,132.8,53.7,3409,,376.9,158,136.8,200.2,,,144.4,22.6,32,,14,211.2,407.7
Aug-1983,41119.8,18253.1,3305.8,724.3,482,1235.2,341.1,412.2,110.9,9930.8,502.3,97.2,1069.3,3059.5,2240.1,2962.5,5016.5,678.5,592,1525.1,528.8,1454.8,237.4,14740.8,1325.8,1208.4,890.5,1279.7,607,1271.5,1733.9,933.8,925.3,624.2,1330,566.7,413.9,473.5,1156.6,5660.7,388,142.1,1511.3,200.2,53,3366.1,,436.1,190.5,210.9,249.4,,,167.4,24.3,90.1,,69.3,263.9,407.2
Sep-1983,38150.2,17177.7,3676.3,476.6,1007.8,1449.9,366.4,270.6,104.9,9104,593.5,163.1,1104.2,2378.6,2076,2788.5,4397.4,683,453.4,1413.7,524.3,1059.4,263.6,14285.6,1588,1281.4,1095.8,845.6,529.6,1387.7,1983.7,813.9,507.4,540.2,1426.8,343.2,382.8,412.8,1146.8,3809.5,428.6,156.1,148.2,129.9,47.8,2898.8,,370.2,234,172.3,320.5,,,215.9,27,273.3,,16.2,258.5,595.8
Oct-1983,41636.8,19038,4254.4,920.2,465.4,1854.4,436.2,445.2,133,10582.6,755,100.1,953.4,3044.8,3228.1,2501.2,4201,605.6,446.2,1212.3,502.1,1140.3,294.5,14219.9,1421.1,1347.7,1059.6,616.8,537.4,1758.2,1922.5,730.1,477.4,548,1285.3,525.7,342.9,386.5,1260.8,5543.8,301,156.3,533.1,120.3,52.2,4381,,301.5,232.1,206.6,208.6,,,216.9,26.2,373.5,,21.3,274.7,576.4
Nov-1983,54958.2,32275.2,8106,1607.8,1250.8,3616.7,632.8,822.2,175.6,18765.4,1183.6,247.5,1506.2,6806.3,5107.3,3914.5,5403.8,707,480.7,1677.7,543.4,1743.7,251.4,15485.7,1453.3,2141.9,897.5,982.6,535.3,1937.3,1830.2,694.7,357.4,477.3,1591.1,451.1,308.8,384.4,1442.8,4790.6,561.3,136.7,223.4,88.4,47,3733.8,,238.1,217.4,132.9,197.4,,,130.3,26.6,231.7,,23.6,238.8,570.9
