Date,U.S. No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),East Coast (PADD 1) No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),New England (PADD 1A) No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),Connecticut No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),Maine No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),Massachusetts No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),New Hampshire No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),Rhode Island No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),Vermont No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),Central Atlantic (PADD 1B) No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),Delaware No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),District of Columbia No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),Maryland No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),New Jersey No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),New York No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),Pennsylvania No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),Lower Atlantic (PADD 1C) No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),Virginia No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),West Virginia No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),Midwest (PADD 2) No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),Illinois No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),Indiana No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),Michigan No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),Minnesota No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),Ohio No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),Wisconsin No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),Gulf Coast (PADD 3) No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),Rocky Mountain (PADD 4) No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),Idaho No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),West Coast (PADD 5) No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),Alaska No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),Oregon No 2 Distillate Residential Price by All Sellers (Dollars per Gallon),Washington No 2 Distillate Residential Price by All Sellers (Dollars per Gallon)
1978,0.49,,,0.501,0.486,0.488,0.503,0.507,0.508,,0.478,0.507,0.492,0.496,0.501,0.488,,0.491,0.462,,0.465,0.485,0.479,,0.474,0.447,,,0.436,,0.532,0.458,0.486
1979,0.704,,,0.72,0.688,0.709,0.725,0.728,0.725,,0.682,0.742,0.701,0.71,0.712,0.698,,0.704,0.651,,0.688,0.727,0.709,,0.686,0.673,,,0.621,,0.682,0.68,0.697
1980,0.974,,,0.983,0.963,0.978,1.004,1.011,1.015,,0.954,1.026,0.979,0.979,0.982,0.964,,0.985,0.922,,0.958,0.996,0.978,,0.919,0.915,,,0.916,,0.978,0.973,1.008
1981,1.194,,,1.217,1.204,1.213,1.237,1.238,1.254,,1.173,1.274,1.214,1.215,1.232,1.181,,1.205,1.15,,1.149,1.185,1.183,,1.132,1.091,,,1.104,,1.18,1.114,1.165
1982,1.16,,,1.183,1.155,1.176,1.174,1.201,1.201,,1.113,1.245,1.171,1.174,1.205,1.137,,1.177,1.093,,1.109,1.143,1.139,,1.102,1.078,,,1.104,,1.174,1.116,1.176
1983,1.078,1.09,1.083,1.091,1.028,1.091,1.041,1.105,1.129,1.097,1.06,1.17,1.103,1.079,1.121,1.058,1.074,1.087,1.01,1.02,1.004,1.007,1.064,1.031,1.013,1.012,0.874,0.942,1.018,1.064,1.088,1.036,1.09
1984,1.091,1.113,1.108,1.121,1.039,1.116,1.084,1.114,1.119,1.122,1.096,1.187,1.135,1.11,1.155,1.079,1.073,1.105,1.021,1.017,1.001,1.031,1.05,1.041,1.021,1.01,0.979,0.968,0.985,1.015,1.069,0.993,1.026
1985,1.053,1.068,1.063,1.08,0.997,1.07,1.024,1.067,1.077,1.075,1.046,1.143,1.088,1.059,1.113,1.023,1.041,1.063,0.98,0.994,0.975,0.991,1.021,1.019,0.997,0.983,0.925,0.961,0.972,1.009,1.083,0.971,1.011
1986,0.836,0.862,0.829,0.89,0.744,0.821,0.759,0.828,0.866,0.881,0.85,0.931,0.914,0.902,0.911,0.814,0.855,0.866,0.746,0.727,,0.748,0.81,0.792,0.777,0.756,0.674,0.706,0.738,0.781,0.949,0.704,0.775
1987,0.803,0.814,0.801,0.834,0.747,0.806,0.765,0.825,0.811,0.827,0.793,0.918,0.866,0.843,0.852,0.769,0.784,0.795,0.764,0.748,0.798,0.754,0.775,0.746,0.747,0.751,0.637,0.696,0.688,0.778,0.865,0.725,0.795
