Sourcekey,EMA_EPD2_PRT_NUS_DPG,EMA_EPD2_PRT_R10_DPG,EMA_EPD2_PRT_R1X_DPG,EMA_EPD2_PRT_SCT_DPG,EMA_EPD2_PRT_SME_DPG,EMA_EPD2_PRT_SMA_DPG,EMA_EPD2_PRT_SNH_DPG,EMA_EPD2_PRT_SRI_DPG,EMA_EPD2_PRT_SVT_DPG,EMA_EPD2_PRT_R1Y_DPG,EMA_EPD2_PRT_SDE_DPG,EMA_EPD2_PRT_SDC_DPG,EMA_EPD2_PRT_SMD_DPG,EMA_EPD2_PRT_SNJ_DPG,EMA_EPD2_PRT_SNY_DPG,EMA_EPD2_PRT_SPA_DPG,EMA_EPD2_PRT_R1Z_DPG,EMA_EPD2_PRT_SVA_DPG,EMA_EPD2_PRT_SWV_DPG,EMA_EPD2_PRT_R20_DPG,EMA_EPD2_PRT_SIL_DPG,EMA_EPD2_PRT_SIN_DPG,EMA_EPD2_PRT_SMI_DPG,EMA_EPD2_PRT_SMN_DPG,EMA_EPD2_PRT_SOH_DPG,EMA_EPD2_PRT_SWI_DPG,EMA_EPD2_PRT_R30_DPG,EMA_EPD2_PRT_R40_DPG,EMA_EPD2_PRT_SID_DPG,EMA_EPD2_PRT_R50_DPG,EMA_EPD2_PRT_SAK_DPG,EMA_EPD2_PRT_SOR_DPG,EMA_EPD2_PRT_SWA_DPG,
Jan-1983,1.15,1.165,1.167,1.195,1.09,1.163,1.116,1.162,1.215,1.172,1.105,1.228,1.154,1.157,1.206,1.137,1.132,1.16,1.056,1.074,1.038,1.057,1.106,1.078,1.079,1.085,0.889,1.018,1.091,1.151,1.146,1.136,1.177,
Feb-1983,1.116,1.128,1.129,1.158,1.037,1.132,1.055,1.122,1.169,1.136,1.082,1.197,1.126,1.104,1.176,1.096,1.094,1.12,1.047,1.036,0.995,1.028,1.085,1.016,1.044,1.045,0.993,1.001,1.048,1.113,,1.078,1.143,
Mar-1983,1.051,1.064,1.056,1.083,0.974,1.054,1.008,1.068,1.096,1.071,1.039,1.153,1.082,1.046,1.102,1.04,1.052,1.069,0.992,0.975,0.966,0.957,1.037,0.965,0.982,0.968,0.937,0.913,0.996,1.067,1.107,1.014,1.09,
Apr-1983,1.035,1.048,1.042,1.045,0.995,1.044,1.009,1.088,1.106,1.051,1.03,1.131,1.079,1.044,1.069,1.018,1.053,1.067,0.975,0.981,0.977,0.968,1.025,1.005,0.958,0.971,,0.9,0.99,1.025,1.066,0.991,1.06,
May-1983,1.048,1.06,1.06,1.059,1.016,1.07,1.026,1.096,1.112,1.063,1.046,1.129,1.086,1.055,1.082,1.033,1.051,1.072,0.961,0.993,1.003,0.982,1.027,1.019,0.965,0.987,0.92,0.9,0.992,1.023,1.06,0.99,1.055,
Jun-1983,1.06,1.069,1.053,1.043,1.026,1.059,1.012,1.12,1.128,1.081,1.073,1.147,1.083,1.046,1.105,1.022,1.053,1.068,0.973,1.034,1.002,0.982,1.107,1.024,0.961,0.987,0.928,0.856,0.987,1.019,1.05,0.994,1.054,
Jul-1983,1.05,1.062,1.048,1.042,1.026,1.053,1.043,1.091,1.123,1.071,1.078,1.128,1.072,1.045,1.099,1.013,1.051,1.074,0.949,1.008,0.996,0.994,1.053,1.026,0.973,0.99,0.934,0.842,0.993,1.013,1.058,0.978,1.052,
Aug-1983,1.049,1.062,1.05,1.038,1.056,1.054,1.035,1.079,1.117,1.071,1.025,1.133,1.07,1.055,1.1,1.016,1.048,1.077,0.961,0.997,1.007,0.989,1.022,1.044,0.952,0.992,0.95,0.86,0.981,1.01,1.051,0.987,1.04,
Sep-1983,1.057,1.068,1.051,1.038,1.038,1.062,1.04,1.081,1.11,1.078,1.035,1.139,1.081,1.061,1.105,1.028,1.057,1.081,1.007,1.02,1.025,1.014,1.039,1.037,1.012,1.007,0.947,0.943,0.989,1.038,1.062,1.005,1.056,
Oct-1983,1.06,1.068,1.048,1.043,1.029,1.056,1.031,1.08,1.094,1.079,1.035,1.134,1.087,1.054,1.103,1.033,1.056,1.048,1.006,1.025,1.01,1.015,1.058,1.048,1.002,1.018,0.945,0.948,0.995,1.036,1.061,1.014,1.063,
Nov-1983,1.06,1.069,1.048,1.041,1.018,1.061,1.015,1.087,1.098,1.08,1.037,1.135,1.088,1.046,1.102,1.037,1.059,1.049,1.005,1.015,1.008,1.007,1.054,1.044,1.01,1.004,0.96,0.966,0.995,1.043,1.055,1.021,1.064,
Dec-1983,1.067,1.078,1.063,1.056,1.022,1.081,1.037,1.094,1.1,1.089,1.055,1.147,1.092,1.067,1.109,1.046,1.058,1.052,1.015,1.019,0.996,1.011,1.068,1.042,1.021,1.005,0.927,0.978,1.003,1.042,1.055,1.018,1.061,
Jan-1984,1.12,1.147,1.144,1.157,1.102,1.144,1.14,1.137,1.166,1.155,1.148,1.22,1.156,1.141,1.183,1.129,1.11,1.114,1.085,1.029,1.047,1.06,1.073,1.066,1.046,1.015,1.027,0.994,1.001,1.012,1.041,1.005,1.036,
Feb-1984,1.169,1.198,1.192,1.217,1.126,1.197,1.178,1.175,1.189,1.208,1.184,1.286,1.219,1.195,1.243,1.174,1.152,1.175,1.099,1.047,1.059,1.073,1.08,1.028,1.057,1.028,1.07,,1.013,1.027,1.065,1.009,1.038,
Mar-1984,1.113,1.137,1.121,1.145,1.033,1.131,1.088,1.117,1.151,1.146,1.111,1.226,1.162,1.135,1.17,1.109,1.114,1.126,1.049,1.022,1.023,1.006,1.056,1.051,1.017,1.017,0.92,0.97,0.972,1.031,1.073,1.009,1.046,
Apr-1984,1.098,1.119,1.113,1.134,1.033,1.124,1.077,1.107,1.133,1.127,1.099,1.199,1.156,1.106,1.16,1.078,1.075,1.108,1.016,1.022,1.003,1.034,1.048,1.039,1.019,1.014,0.94,0.941,0.962,1.032,1.073,1.006,1.05,
May-1984,1.084,1.106,1.109,1.125,1.027,1.125,1.088,1.114,1.122,1.109,1.09,1.195,1.13,1.091,1.145,1.058,1.077,1.111,0.989,1.014,1.023,1.024,1.052,1.053,1.031,1.01,0.933,0.945,0.981,1.02,1.072,0.995,1.042,
Jun-1984,1.072,1.094,1.095,1.106,1.037,1.105,1.045,1.108,1.128,1.099,1.072,1.163,1.099,1.071,1.15,1.033,1.065,1.087,0.995,1.006,1.016,1.059,1.033,1.042,1.017,1.005,0.934,0.924,0.938,1.023,1.078,0.982,1.033,
Jul-1984,1.048,1.064,1.066,1.074,1.025,1.073,1.019,1.093,1.086,1.068,1.037,1.165,1.09,1.049,1.128,0.997,1.038,1.072,0.962,1.004,0.994,1.014,1.026,1.051,1.018,1.005,0.962,0.914,0.931,0.998,1.072,0.971,1.004,
Aug-1984,1.033,1.045,1.039,1.047,0.98,1.055,0.986,1.06,1.08,1.052,1.037,1.098,1.052,1.036,1.102,0.996,1.031,1.052,0.966,0.993,0.989,1.003,1.018,1.045,0.995,1,0.939,0.924,0.974,0.991,1.073,0.949,0.997,
