control,r_samehh
'100006110140','2'
'100006110249','1'
'100006370140','2'
'100006520140','1'
'100007130148','2'
'100007390148','1'
'100007540148','1'
'100008700141','1'
'100008960141','1'
'100009170148','1'
'100010190149','1'
'100013500140','1'
'100014110140','1'
'100014350142','2'
'100014370140','2'
'100015770147','1'
'100019710141','2'
'100021780144','2'
'100022990149','1'
'100024720144','2'
'100027770146','1'
'100028170140','2'
'100028330140','1'
'100028340144','2'
'100028590144','1'
'100029370149','1'
'100029520149','2'
'100029750147','1'
'100032140147','1'
'100032300147','1'
'100032550147','1'
'100033720143','2'
'100043750145','1'
'100045780142','1'
'100045940142','1'
'100048700148','2'
'100049180149','1'
'100052130241','2'
'100052740140','1'
'100056120140','1'
'100056380140','1'
'100059730141','2'
'100059740145','1'
'100065390143','1'
'100067760144','1'
'100069100140','1'
'100069100249','1'
'100074570143','1'
'100078300246','1'
'100094190143','1'
'100094350143','1'
'100094500143','2'
'100101360143','2'
'100102770145','1'
'100103740143','2'
'100107110148','1'
'100107150146','2'
'100107370148','1'
'100107560146','1'
'100107710246','1'
'100108370343','2'
'100114720245','2'
'100118120146','2'
'100118530146','1'
'100119190149','2'
'100120130145','2'
'100121340142','1'
'100123120146','1'
'100126110140','1'
'100127100149','1'
'100130310140','1'
'100134380148','1'
'100135740141','2'
'100138170149','2'
'100138580149','1'
'100143170149','1'
'100143330149','1'
'100143710148','1'
'100144360149','2'
'100144510149','1'
'100144760140','2'
'100147150147','1'
'100150180148','1'
'100150340148','1'
'100150590148','1'
'100152130147','1'
'100152390147','2'
'100152540147','1'
'100153770147','1'
'100157760141','2'
'100158370146','1'
'100162760145','1'
'100167710146','1'
'100167970146','1'
'100168130146','1'
'100168130147','1'
'100168390147','1'
'100168390348','1'
'100168540146','1'
'100169740143','1'
'100169900143','2'
'100173150143','1'
'100173560143','1'
'100174760147','1'
'100174920147','1'
'100181100149','1'
'100181360149','1'
'100181510149','1'
'100182390240','1'
'100188160142','1'
'100188320142','1'
'100195380149','1'
'100196190149','1'
'100196960144','2'
'100202570147','2'
'100204710143','1'
'100205350142','1'
'100206390143','2'
'100207110146','2'
'100211130149','1'
'100216120143','1'
'100218120242','2'
'100218140140','1'
'100218550140','2'
'100220120247','2'
'100223120147','1'
'100223120444','2'
'100226720141','2'
'100229150145','2'
'100229310145','1'
'100229560145','1'
'100231700142','1'
'100231700548','2'
'100232140141','1'
'100234740148','2'
'100236130148','2'
'100239760149','2'
'100239920149','1'
'100239940144','2'
'100243110142','1'
'100243760140','1'
'100245750144','1'
'100246730146','1'
'100246750142','1'
'100247340149','1'
'100247590149','2'
'100247900140','1'
'100250710147','2'
'100250970147','2'
'100258100143','1'
'100260380142','2'
'100261960149','1'
'100267790144','2'
'100267950144','2'
'100268300143','2'
'100268510145','1'
'100269130143','2'
'100269540143','2'
'100270180146','1'
'100270340146','2'
'100271150140','1'
'100273140140','2'
'100273300140','1'
'100276980148','2'
'100277380142','1'
'100281310146','1'
'100281560146','2'
'100281700141','1'
'100282360141','1'
'100282510141','2'
'100284110140','1'
'100284110249','1'
'100284160141','1'
'100284320141','1'
'100284370140','1'
'100284570141','1'
'100286110149','1'
'100286110446','2'
'100286160147','1'
'100286370149','1'
'100287180149','1'
'100289310147','1'
'100292780142','1'
'100293120147','1'
'100293380147','1'
'100294130146','1'
'100294390146','1'
'100294540146','1'
'100295730140','2'
'100295990140','2'
'100297340146','1'
'100298120246','1'
'100298120543','1'
'100300310145','2'
'100302750140','1'
'100303110149','1'
'100303170145','1'
'100303330145','1'
'100303370149','2'
'100303520149','2'
'100303930140','1'
'100306190149','1'
'100306500149','1'
'100306750140','2'
'100306910140','1'
'100309720145','2'
'100312910144','1'
'100315390143','1'
'100319190149','1'
'100319350149','2'
'100319500149','1'
'100319750140','2'
'100321140143','1'
'100321300143','1'
'100325990142','1'
'100326130141','1'
'100327350241','1'
'100328180141','2'
'100333300142','1'
