CONTROL,RAS,RAH,RAD,JRAS
'100006520140','53','1',700,'-9'
'100008960141','01','2',4000,'-9'
'100008960141','42','2',1000,'-9'
'100008960141','47','1',200,'-9'
'100008960141','53','2',1000,'-9'
'100008960141','72','2',4000,'-9'
'100008960141','51','2',3000,'-9'
'100010190149','01','2',6000,'-9'
'100013500140','53','2',5000,'-9'
'100013500140','57','2',1700,'-9'
'100013500140','58','2',1500,'-9'
'100014350142','45','2',10000,'-9'
'100014370140','40','1',-7,'-9'
'100015770147','65','2',2900,'-9'
'100015770147','52','2',0,'-9'
'100021780144','05','2',255000,'-9'
'100021780144','10','2',1,'-9'
'100021780144','13','2',1,'-9'
'100021780144','14','2',1,'-9'
'100021780144','15','2',1,'-9'
'100021780144','37','2',1,'-9'
'100021780144','38','2',1,'-9'
'100021780144','40','2',1,'-9'
'100021780144','42','2',1,'-9'
'100021780144','45','2',1,'-9'
'100021780144','47','2',1,'-9'
'100021780144','49','2',1,'-9'
'100021780144','53','2',1,'-9'
'100021780144','55','2',1,'-9'
'100021780144','69','2',1,'-9'
'100021780144','71','2',1,'-9'
'100021780144','72','2',1,'-9'
'100021780144','51','2',1,'-9'
'100021780144','52','2',1,'-9'
'100022990149','69','2',2500,'-9'
'100027770146','65','2',1000,'-9'
'100028330140','58','2',1,'-9'
'100028330140','68','2',0,'-9'
'100028590144','58','2',4500,'-9'
'100028590144','68','1',1600,'-9'
'100029370149','06','2',5000,'-9'
'100032300147','51','2',3000,'-9'
'100032550147','61','2',300,'-9'
'100032550147','69','1',400,'-9'
'100033720143','38','1',20000,'-9'
'100037843056','61','-7',-7,'-9'
'100045780142','37','2',600,'-9'
'100052740140','51','1',2000,'-9'
'100056120140','45','2',600,'-9'
'100056120140','66','2',1500,'-9'
'100056380140','38','2',4000,'-9'
'100056380140','45','2',15000,'-9'
'100056380140','53','1',0,'-9'
'100074570143','06','1',2000,'-9'
'100074570143','71','1',2000,'-9'
'100094190143','57','2',3500,'-9'
'100094190143','58','1',1,'-9'
'100101360143','45','2',7800,'-9'
'100101360143','62','2',375,'-9'
'100107110148','37','2',6000,'-9'
'100107110148','61','2',300,'-9'
'100107560146','38','2',700,'-9'
'100107560146','45','2',100,'-9'
'100107560146','53','1',200,'-9'
'100107560146','57','2',1200,'-9'
'100107560146','62','2',130,'-9'
'100134380148','37','2',1200,'-9'
'100138580149','61','1',300,'-9'
'100144510149','45','1',150,'-9'
'100144510149','61','2',450,'-9'
'100144510149','62','2',400,'-9'
'100153770147','61','2',400,'-9'
'100157760141','45','1',-8,'-9'
'100158370146','37','1',5000,'-9'
'100158370146','69','1',350,'-9'
'100158370146','70','1',150,'-9'
'100167710146','37','2',4000,'-9'
'100167710146','61','2',300,'-9'
'100168390147','71','1',150,'-9'
'100174760147','45','1',450,'-9'
'100174760147','53','1',1000,'-9'
'100181360149','53','2',2300,'-9'
'100181510149','61','1',100,'-9'
'100181510149','62','1',400,'-9'
'100181510149','63','1',140,'-9'
'100181510149','71','1',200,'-9'
'100181510149','72','1',300,'-9'
'100182390240','61','2',-7,'-9'
'100195380149','45','1',900,'-9'
'100216120143','37','1',1000,'-9'
'100229310145','01','2',600,'-9'
'100229310145','61','2',600,'-9'
'100229310145','64','2',1200,'-9'
'100229310145','64','2',1,'-9'
'100229310145','64','2',400,'-9'
'100243760140','67','1',200,'-9'
'100245750144','53','2',2500,'-9'
'100245750144','62','1',600,'-9'
'100245750144','71','1',1500,'-9'
'100245750144','51','2',0,'-9'
'100246750142','53','1',1000,'-9'
'100246750142','65','2',1700,'-9'
'100246750142','52','2',1700,'-9'
'100247340149','37','2',3000,'-9'
'100250710147','37','1',3000,'-9'
'100250710147','42','2',0,'-9'
'100250710147','47','1',400,'-9'
'100250710147','55','1',1500,'-9'
'100250710147','57','1',800,'-9'
'100250710147','62','1',500,'-9'
'100250710147','63','1',250,'-9'
'100250710147','51','1',2000,'-9'
'100258100143','53','2',2500,'-9'
'100258483051','37','2',10000,'-9'
'100268300143','52','2',3500,'-9'
'100268510145','58','2',500,'-9'
'100268510145','61','1',400,'-9'
'100276980148','42','2',500,'-9'
'100276980148','61','2',500,'-9'
'100276980148','63','2',120,'-9'
'100281310146','10','2',50000,'-9'
'100281310146','37','2',10000,'-9'
'100281310146','42','2',1,'-9'
'100281310146','47','2',1,'-9'
'100281310146','55','2',1,'-9'
'100281310146','58','2',3000,'-9'
'100281310146','66','2',500,'-9'
'100281310146','71','2',5000,'-9'
'100281310146','74','2',1000,'-9'
'100281310146','51','2',1,'-9'
'100282360141','65','1',150,'-9'
'100282360141','71','1',800,'-9'
'100284160141','61','1',200,'-9'
'100284160141','66','1',100,'-9'
'100286160147','58','1',3000,'-9'
'100292780142','52','1',-7,'-9'
'100294130146','10','1',10000,'-9'
'100294130146','36','1',1,'-9'
'100294130146','38','1',1,'-9'
'100294130146','42','2',300,'-9'
'100294130146','45','1',1,'-9'
'100294130146','47','1',1,'-9'
'100294130146','53','2',2300,'-9'
'100294130146','55','1',4000,'-9'
'100294130146','72','1',4000,'-9'
'100294540146','42','1',15,'-9'
'100294540146','47','1',200,'-9'
'100294540146','53','1',100,'-9'
'100294540146','55','1',60,'-9'
'100294540146','57','1',60,'-9'
'100294540146','69','1',200,'-9'
'100294540146','71','1',800,'-9'
'100294540146','51','1',80,'-9'
'100297340146','58','1',-7,'-9'
'100297340146','61','2',-7,'-9'
'100300310145','01','2',2000,'-9'
'100300310145','61','2',500,'-9'
'100300310145','65','2',600,'-9'
'100302750140','03','1',400,'-9'
'100302750140','06','1',400,'-9'
'100302750140','11','1',7000,'-9'
'100302750140','42','1',0,'-9'
'100302750140','47','1',400,'-9'
'100302750140','53','1',0,'-9'
'100302750140','55','1',0,'-9'
'100302750140','65','2',2000,'-9'
'100302750140','66','1',200,'-9'
'100302750140','69','1',0,'-9'
'100303110149','37','2',2200,'-9'
'100303110149','53','2',2000,'-9'
'100303110149','57','2',3500,'-9'
'100303110149','52','2',3000,'-9'
'100303330145','11','2',-7,'-9'
'100303330145','15','1',0,'-9'
'100303330145','47','1',-7,'-9'
'100312910144','38','2',16000,'-9'
'100315390143','74','2',500,'-9'
'100319350149','12','1',-7,'-9'
'100319350149','45','1',600,'-9'
'100319350149','53','1',500,'-9'
'100319350149','67','1',500,'-9'
'100319750140','49','1',300,'-9'
'100319750140','53','1',50,'-9'
'100321300143','53','1',500,'-9'
'100325990142','37','1',2000,'-9'
'100327350241','37','2',6500,'-9'
'100327350241','45','2',10000,'-9'
'100327350241','65','1',500,'-9'
'100327350241','67','1',700,'-9'
'100333300142','15','1',7000,'-9'
'100333300142','65','2',4500,'-9'
'100333300142','69','2',0,'-9'
'100336263050','10','1',-8,'-9'
'100336263050','13','1',-8,'-9'
'100336263050','53','1',-8,'-9'
'100336263050','57','1',-8,'-9'
'100336263050','58','1',-8,'-9'
'100336263050','71','1',-8,'-9'
'100336263050','72','1',-8,'-9'
'100336740149','15','1',290,'-9'
'100336900149','06','1',25000,'-9'
'100336900149','51','2',1,'-9'
'100339160140','40','2',0,'-9'
'100339160140','47','2',0,'-9'
'100339160140','63','2',171,'-9'
'100344510146','53','2',500,'-9'
'100344510146','62','1',0,'-9'
'100344510146','52','2',2000,'-9'
'100349190145','62','2',350,'-9'
'100365380140','51','2',5500,'-9'
'100372300249','45','1',800,'-9'
'100374330146','06','2',20000,'-9'
'100374330146','53','2',0,'-9'
'100374330146','55','2',0,'-9'
'100374330146','62','2',800,'-9'
'100374330146','63','2',125,'-9'
'100374330146','72','2',40000,'-9'
'100381590246','57','2',1600,'-9'
'100382360142','70','2',2000,'-9'
'100382360142','70','-6',-6,'-9'
'100391203058','61','2',1300,'-9'
'100391203058','69','1',5000,'-9'
'100416320144','62','2',0,'-9'
'100418950148','61','1',250,'-9'
'100424390140','42','2',300,'-9'
'100424390140','45','2',6000,'-9'
'100424390140','62','1',400,'-9'
'100424390140','63','1',100,'-9'
'100424390140','65','2',3500,'-9'
'100424390249','71','2',3500,'-9'
'100426140146','12','2',-8,'-9'
'100431120143','47','1',110,'-9'
'100431120143','66','1',60,'-9'
'100431380143','53','2',1500,'-9'
'100431530143','61','2',350,'-9'
'100431530143','65','2',4000,'-9'
'100434380148','72','2',5000,'-9'
'100439300144','61','2',800,'-9'
'100439300144','64','2',450,'-9'
'100465100147','37','2',450,'-9'
'100465100147','47','2',200,'-9'
'100468100143','57','2',1250,'-9'
'100468100143','58','2',1250,'-9'
'100468510143','37','2',0,'-9'
'100468510143','53','1',600,'-9'
'100479140140','45','2',3500,'-9'
'100479140140','67','2',4500,'-9'
'100479140140','52','2',3000,'-9'
'100483390241','45','1',2800,'-9'
'100483390241','53','1',1600,'-9'
'100483390241','72','1',5000,'-9'
'100483390241','52','1',2400,'-9'
'100489360146','06','2',3500,'-9'
'100489360146','42','2',1,'-9'
'100489360146','55','2',1,'-9'
'100489360146','57','2',1,'-9'
'100489360146','58','2',1,'-9'
'100489360146','51','2',350,'-9'
'100489510146','62','2',355,'-9'
'100489510146','51','2',2000,'-9'
'100489760246','62','1',500,'-9'
'100489760246','72','1',1200,'-9'
'100489843059','61','2',500,'-9'
'100494730147','12','2',12000,'-9'
'100494730147','62','1',500,'-9'
'100494730147','51','2',1500,'-9'
'100499710149','65','1',2000,'-9'
'100499710149','67','1',500,'-9'
'100515330148','57','2',2000,'-9'
'100529370249','37','1',1800,'-9'
'100530340148','13','1',2000,'-9'
'100530340148','53','2',4000,'-9'
'100530340148','57','2',5000,'-9'
'100530340148','61','2',1500,'-9'
'100530340148','62','2',600,'-9'
'100530340148','63','2',100,'-9'
'100530340148','66','1',500,'-9'
'100532160142','63','1',60,'-9'
'100532320142','62','1',300,'-9'
'100534390140','45','2',3000,'-9'
'100534390140','47','1',50,'-9'
'100534390140','65','2',2000,'-9'
'100543330146','57','2',4800,'-9'
'100548550148','53','1',6000,'-9'
'100548550148','55','1',4000,'-9'
'100548550148','61','1',300,'-9'
'100548550148','51','2',4000,'-9'
'100549683058','37','2',-7,'-9'
'100549683058','53','2',1,'-9'
'100549683058','71','2',35000,'-9'
'100549683058','72','2',1,'-9'
'100550560148','45','2',-7,'-9'
'100553130149','58','2',1000,'-9'
'100553130149','63','1',60,'-9'
'100553130149','69','1',300,'-9'
'100553130149','51','2',900,'-9'
'100553950140','38','2',500,'-9'
'100553950140','45','2',2900,'-9'
'100553950140','53','2',1200,'-9'
'100576360140','52','2',1200,'-9'
'100590120140','57','2',6000,'-9'
'100590120140','61','2',300,'-9'
'100600370149','51','2',2000,'-9'
'100619770144','37','2',3500,'-9'
'100619770144','53','-7',-7,'-9'
'100619770144','66','2',2600,'-9'
'100619770144','68','2',17000,'-9'
'100619770144','72','-7',-7,'-9'
'100619770144','51','-7',-7,'-9'
'100622700146','57','1',900,'-9'
'100633380146','55','2',200,'-9'
'100633380146','62','2',200,'-9'
'100635300140','67','1',2000,'-9'
'100650380146','37','2',-7,'-9'
'100650380146','51','2',-7,'-9'
'100650530146','66','2',6,'-9'
'100652390147','74','2',200,'-9'
'100653320144','57','2',3200,'-9'
'100653320144','58','2',0,'-9'
'100653320144','62','2',800,'-9'
'100653730145','13','2',14000,'-9'
'100655120245','64','1',400,'-9'
'100661720141','58','2',3000,'-9'
'100662340141','63','1',100,'-9'
'100667110145','62','2',600,'-9'
'100667110145','63','1',50,'-9'
'100671180142','64','2',800,'-9'
'100671180142','64','2',500,'-9'
'100681170142','38','1',1500,'-9'
'100681170142','63','1',300,'-9'
'100681330142','68','2',1200,'-9'
'100683300147','74','2',2000,'-9'
'100685170141','49','1',300,'-9'
'100685170141','51','1',3000,'-9'
'100685330141','53','1',25,'-9'
'100685330141','65','1',85,'-9'
'100685330141','66','1',10,'-9'
'100685330141','69','1',400,'-9'
'100687730149','37','2',4000,'-9'
'100687730149','53','2',1500,'-9'
'100687730149','66','2',2000,'-9'
'100693360148','65','2',3000,'-9'
'100697590144','62','2',1000,'-9'
'100705110347','38','1',7000,'-9'
'100705110347','45','1',400,'-9'
'100705110347','62','1',400,'-9'
'100714710146','37','2',3000,'-9'
'100714710146','42','2',0,'-9'
'100714710146','45','2',500,'-9'
'100714710146','47','2',0,'-9'
'100714710146','53','2',2500,'-9'
'100714710146','62','2',600,'-9'
'100714710146','71','2',10000,'-9'
'100724360143','57','1',5000,'-9'
'100724360143','61','1',0,'-9'
'100726190142','53','1',800,'-9'
'100726190142','69','2',1400,'-9'
'100726190142','71','1',0,'-9'
'100726190142','72','1',0,'-9'
'100743940144','45','1',200,'-9'
'100743940144','61','1',100,'-9'
'100743940144','69','1',800,'-9'
'100767150149','13','1',4000,'-9'
'100767150149','68','2',4000,'-9'
'100767310149','10','2',17000,'-9'
'100767310149','37','2',4400,'-9'
'100767310149','42','2',400,'-9'
'100767310149','47','2',800,'-9'
'100767310149','71','2',2500,'-9'
'100776790141','13','1',1500,'-9'
'100776790141','45','2',300,'-9'
'100778340140','61','2',800,'-9'
'100791120146','37','2',1600,'-9'
'100793330149','71','2',250,'-9'
'100793330149','72','2',1000,'-9'
'100804310140','38','2',6000,'-9'
'100804310140','65','2',1800,'-9'
'100804350142','37','2',27500,'-9'
'100804350142','47','2',1000,'-9'
'100804350142','61','2',2000,'-9'
'100805120146','47','1',200,'-9'
'100805120146','53','1',1000,'-9'
'100805120146','61','2',600,'-9'
'100805120146','62','1',300,'-9'
'100805120146','72','1',400,'-9'
'100805120146','51','2',1500,'-9'
'100809190142','12','1',700,'-9'
'100809190142','13','1',1,'-9'
'100813300145','38','1',9800,'-9'
'100813300145','53','2',1400,'-9'
'100813300145','51','1',3800,'-9'
'100834360141','53','2',525,'-9'
'100834360141','62','2',550,'-9'
'100834360141','63','2',150,'-9'
'100846750144','58','2',4800,'-9'
'100846750144','63','1',100,'-9'
'100849530143','53','2',4500,'-9'
'100850560143','49','2',600,'-9'
'100853170142','37','2',0,'-9'
'100855780143','53','1',1,'-9'
'100859360143','37','1',25,'-9'
'100859360143','65','1',100,'-9'
'100868160140','55','1',300,'-9'
'100868160140','58','1',8500,'-9'
'100868160140','62','1',700,'-9'
'100868160140','66','1',2000,'-9'
'100873390145','53','1',600,'-9'
'100873390145','61','2',500,'-9'
'100873390145','62','2',350,'-9'
'100874180141','61','2',725,'-9'
'100874190142','37','2',3200,'-9'
'100878110143','01','2',20000,'-9'
'100878110143','58','2',3000,'-9'
'100878110143','66','2',1000,'-9'
'100879360146','53','2',5000,'-9'
'100879360146','62','2',550,'-9'
'100881190149','58','1',3000,'-9'
'100881190149','65','2',400,'-9'
'100882340145','53','1',200,'-9'
'100882340145','58','1',3200,'-9'
'100882340145','64','1',1000,'-9'
'100883150145','01','2',-7,'-9'
'100895340144','51','2',3000,'-9'
'100898900148','61','2',2000,'-9'
'100898900148','51','1',2,'-9'
'100907390246','37','2',-7,'-9'
'100907390246','53','2',750,'-9'
'100910750143','45','2',250,'-9'
'100927740146','61','1',-7,'-9'
'100933330143','53','1',800,'-9'
'100933330143','69','1',150,'-9'
'100941110143','37','2',1,'-9'
'100941110143','45','2',1,'-9'
'100941110143','49','2',1,'-9'
'100941110143','57','2',1,'-9'
'100941110143','58','2',1,'-9'
'100941110143','65','2',1,'-9'
'100941110143','67','2',1,'-9'
'100941110143','69','2',1,'-9'
'100941110143','71','2',76667,'-9'
'100941110143','72','1',1,'-9'
'100942100147','47','2',300,'-9'
'100946390142','37','2',2000,'-9'
'100946390142','47','2',2000,'-9'
'100951770443','42','2',60,'-9'
'100963130140','62','2',200,'-9'
'100989330142','36','1',300,'-9'
'100989330142','45','1',150,'-9'
'100989330142','62','1',150,'-9'
'100989330142','68','2',-7,'-9'
'100992580144','47','1',500,'-9'
'100992580144','61','1',350,'-9'
'101037120140','37','2',0,'-9'
'101037120140','61','1',300,'-9'
'101037120140','62','1',500,'-9'
'101059190147','57','2',2650,'-9'
'101092730142','72','1',700,'-9'
'101103920140','45','2',6000,'-9'
'101103920140','63','1',75,'-9'
'101103920140','66','2',3000,'-9'
'101103920140','51','1',500,'-9'
'101107330143','05','1',-7,'-9'
'101107330143','38','1',1400,'-9'
'101107330143','55','1',800,'-9'
'101107330143','58','2',5000,'-9'
'101107330143','66','1',200,'-9'
'101129990140','62','1',0,'-9'
'101142900146','70','1',1500,'-9'
'101150510145','71','1',1000,'-9'
'101150510145','51','2',500,'-9'
'101150843058','37','2',5000,'-9'
'101150843058','45','2',500,'-9'
'101150843058','61','2',300,'-9'
'101150843058','51','2',1300,'-9'
'101152150144','37','1',1000,'-9'
'101152150144','51','2',3000,'-9'
'101169100149','38','1',5000,'-9'
