CONTROL,OWNHERE,JWNHER
'100007130148','1','-9'
'100007390148','2','-9'
'100008700141','2','-9'
'100009170148','1','-9'
'100014110140','2','-9'
'100024720144','-6','-9'
'100028170140','2','2'
'100029520149','1','-9'
'100032140147','1','-9'
'100052130241','-6','-9'
'100059730141','-6','-9'
'100069100140','-6','-9'
'100069100249','-6','-9'
'100078300246','-6','-9'
'100094500143','2','-9'
'100102770145','1','-9'
'100107150146','1','2'
'100107710246','2','-9'
'100118120146','1','2'
'100120130145','2','-9'
'100147150147','-6','-9'
'100152540147','1','-9'
'100168130147','2','-9'
'100169740143','-6','-9'
'100169900143','1','-9'
'100181100149','1','-9'
'100196960144','1','2'
'100202570147','1','-9'
'100206390143','2','-9'
'100207110146','-6','-9'
'100218140140','-6','-9'
'100218550140','1','2'
'100223120147','1','-9'
'100223120444','1','-9'
'100226720141','-6','-9'
'100229150145','2','-9'
'100229560145','2','-9'
'100231700142','2','-9'
'100231700548','2','-9'
'100236130148','2','-9'
'100239760149','2','-9'
'100243110142','-6','-9'
'100247590149','2','2'
'100247900140','2','-9'
'100261960149','2','-9'
'100267950144','1','-9'
'100269130143','2','-9'
'100269540143','1','-9'
'100270180146','2','-9'
'100271150140','-6','-9'
'100273140140','-6','-9'
'100273300140','2','-9'
'100277380142','-6','-9'
'100284110140','2','-9'
'100284110249','2','-9'
'100284320141','2','-9'
'100284370140','2','-9'
'100286110149','2','-9'
'100288750147','2','-9'
'100293120147','-6','-9'
'100293380147','2','-9'
'100294390146','1','2'
'100295990140','1','-9'
'100298120246','1','-9'
'100298120543','1','-9'
'100303520149','2','-9'
'100306190149','2','-9'
'100306750140','2','-9'
'100306910140','2','-9'
'100319190149','-6','-9'
'100319500149','2','2'
'100321140143','2','-9'
'100328180141','2','-9'
'100351180149','1','-9'
'100355560147','2','2'
'100356320148','-6','-9'
'100356570148','1','-9'
'100358930144','1','-9'
'100363700340','2','-9'
'100363700449','2','-9'
'100365120140','-6','-9'
'100365530140','2','-9'
'100365590147','-6','-9'
'100374170146','2','-9'
'100375950147','1','-9'
'100380780140','2','-9'
'100380780249','2','-9'
'100381110145','2','-9'
'100382100142','2','-9'
'100407720144','-6','-9'
'100407980144','1','-9'
'100411320147','1','-9'
'100411570147','2','-9'
'100423180145','2','-9'
'100423590145','2','-9'
'100434530148','1','2'
'100440180149','1','-9'
'100450560245','-6','-9'
'100451120141','2','-9'
'100452590143','1','-9'
'100483730143','2','-9'
'100485140147','2','-9'
'100485300147','2','-9'
'100492150148','2','-9'
'100492310148','2','-9'
'100497940144','1','-9'
'100500310142','-6','-9'
'100502813059','-6','-9'
'100506120345','1','-9'
'100527910141','1','-9'
'100529110140','2','-9'
'100536710147','2','-9'
'100542530145','-6','-9'
'100546780147','1','-9'
'100548140148','2','-9'
'100549273058','2','-9'
'100558540148','2','2'
'100566340146','2','-9'
'100574940146','1','-9'
'100575170140','1','-9'
'100596190146','2','-9'
'100596350146','2','-9'
'100596500146','1','-9'
'100597360146','-6','-9'
'100602350144','1','-9'
'100602500144','1','-9'
'100611710144','1','-9'
'100611970144','1','-9'
'100618140145','-6','-9'
'100629960141','2','-9'
'100631370145','-6','-9'
'100633120146','2','-9'
'100635550140','2','-9'
'100638570145','2','2'
'100645150144','1','-9'
'100650300147','-6','-9'
'100650580145','1','-9'
'100651390145','2','-9'
'100653370146','2','-9'
'100656720145','-6','-9'
'100664730146','1','-9'
'100670760144','2','-9'
'100679140145','2','-9'
'100683140147','1','-9'
'100686160147','-6','-9'
'100686320147','-6','-9'
'100697180144','2','-9'
'100697340144','2','-9'
'100716150147','2','-9'
'100717920148','1','-9'
'100743390145','1','-9'
'100755910143','1','-9'
'100767560149','1','-9'
'100772900142','-6','-9'
'100777170143','-6','-9'
'100778150142','2','-9'
'100782190143','2','-9'
'100783510146','-6','-9'
'100790790147','1','2'
'100792930147','1','-9'
'100795170144','-6','-9'
'100799150149','1','-9'
'100805530146','2','-9'
'100809730146','1','-9'
'100814140143','2','-9'
'100837130140','2','-9'
'100838380148','2','-9'
'100845140147','2','2'
'100848360149','2','2'
'100849380143','2','-9'
'100853110149','2','-9'
'100853770140','2','-9'
'100855940143','2','-9'
'100871160148','1','-9'
'100871550143','1','-9'
'100873130145','2','-9'
'100883140141','2','-9'
'100883700241','2','-9'
'100889150148','-6','-9'
'100889310148','2','-9'
'100909360146','1','-9'
'100909780147','-6','-9'
'100914500142','2','2'
'100926253058','2','-9'
'100929990143','1','-9'
'100932920142','-6','-9'
'100941520143','-6','-9'
'100948330145','2','-9'
'100951510147','2','-9'
'100970540140','-6','-9'
'100988100140','2','-9'
'101045140148','2','-9'
'101045550148','-6','-9'
'101086140141','1','-9'
'101094370140','1','-9'
'101129580149','2','-9'
'101150433058','2','-9'
'101169920140','1','-9'
'101173170140','-6','-9'
'101216140140','2','-9'
'101234920145','2','-9'
'101238980146','-6','-9'
'101250990144','-6','-9'
'101267970141','1','2'
'101269560140','1','-9'
'101281160147','2','-9'
'101283120141','-6','-9'
'101295190146','2','-9'
'101295350146','1','-9'
'101302520146','2','2'
'101303190142','1','2'
'101306110146','-6','-9'
'101306370146','2','-9'
'101319930246','-6','-9'
'101358790141','2','-9'
'101379100144','1','-9'
'101379360144','2','-9'
'101380140146','1','-9'
'101380550146','1','2'
'101408530140','-6','-9'
'101423360142','2','-9'
'101430990141','2','-9'
'101477940149','-6','-9'
'101482140240','2','-9'
'101483190149','1','2'
'101493560147','1','-9'
'101497960141','2','-9'
'101512180149','2','-9'
'101530510145','1','-9'
'101536730144','1','2'
'101548320145','1','-9'
'101548570145','-6','-9'
'101553310146','1','-9'
'101593580242','-6','-9'
'101618910147','1','-9'
'101622770147','1','-9'
'101633140143','-6','-9'
'101650500142','2','-9'
'101653180141','1','-9'
'101655920146','2','2'
'101664910143','2','2'
'101670940141','2','-9'
'101700140140','2','-9'
'101714960141','-6','-9'
'101743700141','-6','-9'
'101792790144','-6','-9'
'101799170146','-6','-9'
'101805300143','-6','-9'
'101818970148','2','-9'
'101828930147','2','-9'
'101839130143','-6','-9'
'101839390143','1','-9'
'101839540143','2','-9'
'101845190245','1','-9'
'101849300140','1','-9'
'101850170140','1','-9'
'101850330140','1','-9'
'101850580140','-6','-9'
'101853833052','1','-9'
'101889170145','2','2'
'101910520149','1','-9'
'101910930140','1','-9'
'101929350149','1','-9'
'101932380148','2','-9'
'101941540249','1','-9'
'101961190146','-6','-9'
'102037473050','-6','-9'
'102051580341','1','-9'
'102089780147','2','-9'
'102107190140','2','-9'
'102129350146','-6','-9'
'102150453055','2','-9'
'102169380146','1','-9'
'102194730148','1','-9'
'102196340147','2','-9'
'102250910141','2','-9'
'102261900143','1','-9'
'102295110143','-6','-9'
'102295370143','-6','-9'
'102319130143','2','-9'
'102358150147','2','-9'
'102379380141','2','2'
'102383750147','-6','-9'
'102434320142','1','-9'
'102494043051','2','-9'
'102502043150','1','-9'
'102502370140','1','-9'
'102502853053','2','-9'
'102515370142','-6','-9'
'102517720148','2','-9'
'102530380142','1','2'
'102548590142','1','2'
'102553170143','-6','-9'
'102553580143','1','-9'
'102577790144','1','-9'
'102579073058','1','-9'
'102579700148','-6','-9'
'102618770144','2','-9'
'102641310345','2','-9'
'102641710148','2','-9'
'102711930147','1','-9'
'102727980140','2','2'
'102743570147','-6','-9'
'102755390146','-6','-9'
'102790730141','1','-9'
'102809760147','2','-9'
'102818730145','2','2'
'102828330149','-6','-9'
'102853293058','1','-9'
'102853603058','1','-9'
'102910390146','2','-9'
'102927120149','2','-9'
'102929520146','1','-9'
'102944190140','1','-9'
'103045180142','-6','-9'
'103129520143','2','-9'
'103196510144','2','-9'
'103238920140','-6','-9'
'103248920145','2','-9'
'103250110147','1','-9'
'103261360149','1','2'
'103261510149','-6','-9'
'103358580144','-6','-9'
'103383930144','2','-9'
'103389190149','-6','-9'
'103389750140','2','-9'
'103493190141','2','-9'
'103502213059','1','-9'
'103512120143','2','2'
'103512530143','1','-9'
'103579980145','1','-9'
