CONTROL,RCARP,RCLOT,RCOST,RGROC,RKIDC,RMEDI,ROTHE,RUTIL
'100007390148','-9','-9','-9','-9','-9','-9','-9','-9'
'100008700141','-9','-9','-9','-9','-9','-9','2','-9'
'100009170148','-9','-9','-9','-9','-9','-9','-9','-9'
'100014110140','-9','-9','-9','-9','-9','-9','-9','-9'
'100032140147','-9','-9','-9','-9','-9','-9','-9','-9'
'100059730141','-9','-9','-9','-9','-9','-9','-9','-9'
'100069100140','-9','-9','-9','-9','-9','-9','-9','-9'
'100069100249','1','-9','-9','1','1','1','2','-9'
'100094500143','-9','-9','-9','-9','-9','-9','2','-9'
'100102770145','-9','-9','-9','-9','-9','-9','-9','-9'
'100107150146','-9','-9','-9','-9','-9','-9','-9','-9'
'100107710246','-9','-9','-9','1','-9','-9','2','-9'
'100118120146','-9','-9','-9','-9','-9','-9','-9','-9'
'100120130145','-9','-9','-9','-9','-9','-9','-9','-9'
'100147150147','-9','-9','-9','-9','-9','-9','-9','-9'
'100152540147','-9','-9','-9','-9','-9','-9','-9','-9'
'100168130147','-9','-9','-9','-9','-9','-9','-9','-9'
'100169740143','-9','-9','-9','-9','-9','-9','-9','-9'
'100169900143','-9','-9','-9','-9','-9','-9','-9','-9'
'100181100149','-9','-9','-9','-9','-9','-9','-9','-9'
'100196960144','-9','-9','-9','-9','-9','-9','-9','-9'
'100202570147','-9','-9','-9','1','-9','-9','2','-9'
'100206390143','-9','-9','-9','-9','-9','-9','-9','-9'
'100207110146','-9','-9','-9','-9','-9','-9','2','-9'
'100218140140','-9','-9','-9','-9','-9','-9','-9','-9'
'100218550140','-9','-9','-9','-9','-9','-9','-9','-9'
'100223120147','-9','-9','-9','-9','-9','-9','-9','-9'
'100223120444','-9','-9','-9','-9','-9','-9','-9','-9'
'100226720141','-9','-9','-9','-9','-9','-9','-9','-9'
'100229150145','-9','-9','-9','-9','-9','-9','-9','-9'
'100229560145','-9','-9','-9','-9','-9','-9','-9','-9'
'100231700142','-9','-9','-9','-9','-9','-9','-9','-9'
'100231700548','-9','-9','-9','-9','-9','-9','-9','-9'
'100236130148','1','-9','1','-9','-9','1','2','1'
'100239760149','-9','-9','-9','-9','-9','-9','-9','-9'
'100247590149','1','-9','-9','-9','-9','1','2','-9'
'100247900140','-9','-9','-9','-9','-9','-9','-9','-9'
'100261960149','-9','-9','-9','-9','-9','-9','-9','-9'
'100267950144','-9','-9','-9','-9','-9','-9','-9','-9'
'100269130143','-9','-9','-9','-9','-9','-9','-9','-9'
'100269540143','-9','-9','-9','-9','-9','-9','-9','-9'
'100270180146','-9','-9','-9','-9','-9','-9','2','-9'
'100273140140','-9','-9','-9','-9','-9','-9','-9','-9'
'100273300140','-9','-9','-9','-9','-9','-9','-9','-9'
'100277380142','-9','-9','-9','-9','-9','-9','-9','-9'
'100284110140','-9','-9','-9','-9','-9','-9','-9','-9'
'100284320141','-9','-9','-9','-9','-9','-9','-9','-9'
'100284370140','-9','-9','-9','-9','-9','-9','-9','-9'
'100286110149','-9','-9','-9','-9','-9','-9','-9','-9'
'100288750147','-9','-9','-9','-9','-9','-9','-9','-9'
'100294390146','-9','-9','-9','-9','-9','-9','2','-9'
'100295990140','-9','-9','-9','-9','-9','-9','-9','-9'
'100298120246','-9','-9','-9','-9','-9','-9','-9','-9'
'100298120543','-9','-9','-9','-9','-9','-9','-9','-9'
'100303520149','-9','-9','-9','-9','-9','-9','-9','-9'
'100306190149','-9','-9','-9','-9','-9','-9','-9','-9'
'100306910140','-9','-9','-9','-9','-9','-9','-9','-9'
'100319500149','-9','-9','-9','-9','-9','-9','-9','-9'
'100351180149','-9','-9','-9','-9','-9','-9','-9','-9'
'100355560147','-9','-9','-9','-9','-9','-9','-9','-9'
'100356320148','-9','-9','-9','-9','-9','-9','2','-9'
'100356570148','-9','-9','-9','-9','-9','-9','-9','-9'
'100358930144','-9','-9','-9','-9','-9','-9','-9','-9'
'100363700340','-9','-9','-9','-9','-9','-9','-9','-9'
'100363700449','-9','-9','-9','-9','-9','-9','-9','-9'
'100365120140','-9','-9','-9','-9','-9','-9','-9','-9'
'100365530140','-9','-9','-9','-9','-9','-9','-9','-9'
'100365590147','-9','-9','-9','-9','-9','-9','-9','-9'
'100375950147','-9','-9','-9','-9','-9','-9','-9','-9'
'100380780140','-9','-9','-9','-9','-9','-9','2','-9'
'100380780249','-9','-9','-9','-9','-9','-9','-9','-9'
'100381110145','-9','-9','-9','-9','-9','-9','-9','-9'
'100382100142','-9','-9','-9','-9','-9','-9','-9','-9'
'100407720144','-9','-9','-9','-9','-9','-9','-9','-9'
'100407980144','-9','-9','-9','-9','-9','-9','-9','-9'
'100411320147','-9','-9','-9','-9','-9','-9','-9','-9'
'100411570147','-9','-9','-9','-9','-9','-9','-9','-9'
'100423180145','-9','-9','-9','-9','-9','-9','-9','-9'
'100423590145','-9','-9','-9','-9','-9','-9','-9','-9'
'100434530148','-9','-9','-9','-9','-9','-9','-9','-9'
'100440180149','-9','-9','-9','-9','-9','-9','-9','-9'
'100450560245','-9','-9','-9','-9','-9','-9','-9','-9'
'100451120141','-9','-9','-9','-9','-9','-9','-9','-9'
'100452590143','-9','-9','-9','-9','-9','-9','-9','-9'
'100483730143','-9','-9','-9','-9','-9','-9','-9','-9'
'100485140147','-9','-9','-9','-9','-9','-9','-9','-9'
'100485300147','-9','-9','-9','-9','-9','-9','-9','-9'
'100492310148','-9','-9','-9','-9','-9','-9','-9','-9'
'100497940144','-9','-9','-9','-9','-9','-9','-9','-9'
'100500310142','-9','-9','-9','-9','-9','-9','-9','-9'
'100502813059','-9','-9','-9','-9','-9','-9','-9','-9'
'100506120345','-9','-9','-9','-9','-9','-9','-9','-9'
'100527910141','-9','-9','-9','-9','-9','-9','-9','-9'
'100529110140','-9','-9','-9','-9','-9','-9','-9','-9'
'100536710147','-9','-9','-9','-9','-9','-9','-9','-9'
'100542530145','-9','-9','-9','-9','-9','-9','-9','-9'
'100546780147','-9','-9','-9','-9','-9','-9','-9','-9'
'100548140148','-9','-9','-9','-9','-9','-9','-9','-9'
'100549273058','-9','-9','-9','1','-9','-9','2','-9'
'100558540148','-9','-9','-9','-9','-9','-9','-9','-9'
'100574940146','-9','-9','-9','-9','-9','-9','-9','-9'
'100596190146','-9','-9','-9','-9','-9','-9','-9','-9'
'100596350146','-9','-9','-9','-9','-9','-9','-9','-9'
'100596500146','-9','-9','-9','-9','-9','-9','-9','-9'
'100597360146','-9','-9','-9','-9','-9','-9','-9','-9'
'100602350144','-9','-9','-9','-9','-9','-9','-9','-9'
'100602500144','-9','-9','-9','-9','-9','-9','-9','-9'
'100611970144','-9','-9','-9','-9','-9','-9','-9','-9'
'100618140145','-9','-9','-9','-9','-9','-9','-9','-9'
'100629960141','-9','-9','-9','-9','-9','-9','-9','-9'
'100631370145','-9','-9','-9','-9','-9','-9','-9','-9'
'100633120146','-9','-9','-9','-9','-9','-9','-9','-9'
'100635550140','-9','-9','-9','-9','-9','-9','-9','-9'
'100638570145','-9','-9','-9','-9','-9','-9','-9','-9'
'100645150144','-9','-9','-9','-9','-9','-9','-9','-9'
'100650300147','-9','-9','-9','-9','-9','-9','-9','-9'
'100650580145','-9','-9','-9','-9','-9','-9','-9','-9'
'100651390145','-9','-9','-9','-9','-9','-9','-9','-9'
'100653370146','-9','-9','-9','-9','-9','-9','-9','-9'
'100656720145','-9','-9','-9','-9','-9','-9','-9','-9'
'100664730146','-9','-9','-9','-9','-9','-9','-9','-9'
'100670760144','-9','-9','-9','-9','-9','-9','-9','-9'
'100679140145','-9','-9','-9','-9','-9','-9','-9','-9'
'100683140147','1','-9','-9','1','-9','-9','2','-9'
'100686160147','-9','-9','-9','1','-9','-9','2','-9'
'100686320147','-9','-9','-9','-9','-9','-9','-9','-9'
'100716150147','-9','-9','-9','-9','-9','-9','-9','-9'
'100717920148','-9','-9','-9','-9','-9','-9','-9','-9'
'100743390145','-9','-9','-9','-9','-9','-9','-9','-9'
'100767560149','-9','-9','-9','-9','-9','-9','-9','-9'
'100772900142','-9','-9','-9','-9','-9','-9','-9','-9'
'100778150142','-9','-9','-9','-9','-9','-9','-9','-9'
'100782190143','-9','-9','-9','-9','-9','-9','-9','-9'
'100783510146','-9','-9','-9','-9','-9','-9','-9','-9'
'100790790147','-9','-9','-9','-9','-9','-9','-9','-9'
'100792930147','-9','-9','-9','-9','-9','-9','-9','-9'
'100795170144','-9','-9','-9','-9','-9','-9','-9','-9'
'100799150149','-9','-9','-9','-9','-9','-9','-9','-9'
'100805530146','-9','-9','-9','-9','-9','-9','-9','-9'
'100809730146','-9','-9','-9','-9','-9','-9','2','-9'
'100837130140','-9','-9','-9','-9','-9','-9','-9','-9'
'100838380148','-9','-9','-9','-9','-9','-9','-9','-9'
'100845140147','-9','-9','-9','-9','-9','-9','-9','-9'
'100848360149','-9','-9','-9','-9','-9','-9','-9','-9'
'100849380143','-9','-9','-9','-9','-9','-9','-9','-9'
'100853110149','-9','-9','-9','-9','-9','-9','-9','-9'
'100853770140','-9','-9','-9','-9','-9','-9','-9','-9'
'100855940143','-9','-9','-9','-9','-9','-9','-9','-9'
'100871160148','-9','-9','-9','-9','-9','-9','-9','-9'
'100871550143','-9','-9','-9','-9','-9','-9','-9','-9'
'100873130145','-9','-9','-9','-9','-9','-9','-9','-9'
'100883140141','-9','-9','-9','-9','-9','-9','-9','-9'
'100883700241','-9','-9','-9','-9','-9','-9','-9','-9'
'100889150148','-9','-9','-9','-9','-9','-9','-9','-9'
'100909360146','-9','-9','-9','-9','-9','-9','-9','-9'
'100909780147','-9','-9','-9','-9','-9','-9','-9','-9'
'100914500142','-9','-9','-9','-9','-9','-9','2','-9'
'100926253058','-9','-9','-9','-9','-9','-9','-9','-9'
'100929990143','-9','-9','-9','-9','-9','-9','-9','-9'
'100932920142','-9','-9','-9','-9','-9','-9','-9','-9'
'100941520143','-9','-9','-9','-9','-9','-9','-9','-9'
'100948330145','-9','-9','-9','-9','-9','-9','2','-9'
'100951510147','1','1','1','1','1','1','2','1'
'100970540140','-9','-9','-9','-9','-9','-9','-9','-9'
'100988100140','-9','-9','-9','-9','-9','-9','-9','-9'
'101045140148','-9','-9','-9','-9','-9','-9','-9','-9'
'101045550148','-9','-9','-9','-9','-9','-9','-9','-9'
'101129580149','-9','-9','-9','-9','-9','-9','-9','-9'
'101150433058','-9','-9','-9','-9','-9','-9','-9','-9'
'101173170140','-9','-9','-9','-9','-9','-9','-9','-9'
'101216140140','-9','-9','-9','-9','-9','-9','-9','-9'
'101238980146','-9','-9','-9','-9','-9','-9','-9','-9'
'101250990144','-9','-9','-9','-9','-9','-9','-9','-9'
'101281160147','-9','-9','-9','-9','-9','-9','-9','-9'
'101283120141','-9','-9','-9','-9','-9','-9','-9','-9'
'101295190146','-9','-9','-9','-9','-9','-9','-9','-9'
'101295350146','-9','-9','-9','-9','-9','-9','-9','-9'
'101302520146','-9','-9','-9','-9','-9','-9','-9','-9'
