CONTROL,RMOV,XCOND,XCOOP,XCOST,XHEAD,XINUS,XPER,XREL,XTEN,XUNIT,MOVGRP,JOVGRP,JXTEN,JXUNIT,JXPER,JXHEAD
'100006370140',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'100006520140',1,'3','-6','3','2','-9',2,'1','1','1','1','-9','-9','-9','-9','-9'
'100008700141',1,'3','-6','3','2','-9',2,'2','2','2','1','-9','-9','-9','-9','-9'
'100008960141',1,'3','-6','1','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'100009170148',1,'3','-6','3','1','-9',2,'-6','2','2','1','-9','-9','-9','-9','-9'
'100013500140',-9,'-9','-6','-9','-9','-9',-7,'-6','2','-9','1','1','1','-9','1','-9'
'100014110140',1,'3','-6','1','2','-9',4,'1','1','1','1','-9','-9','-9','-9','-9'
'100014370140',1,'3','-6','3','1','-9',4,'-6','1','1','1','-9','-9','-9','-9','-9'
'100021780144',1,'2','-6','2','1','-9',2,'-6','1','1','1','-9','-9','-9','-9','-9'
'100029750147',1,'3','-6','1','1','-9',1,'-6','1','1','1','-9','-9','-9','-9','1'
'100059730141',1,'3','-6','1','1','-9',7,'-6','3','1','1','-9','-9','-9','-9','-9'
'100069100140',1,'3','-6','1','1','-9',6,'-6','2','2','1','-9','-9','-9','-9','-9'
'100069100249',1,'3','-6','2','1','-9',2,'-6','2','3','1','-9','-9','-9','-9','-9'
'100074570143',1,'3','-6','1','1','-9',1,'-6','1','1','1','-9','-9','-9','-9','1'
'100074570143',2,'3','-6','3','2','-9',4,'1','1','1','2','-9','-9','-9','-9','-9'
'100094500143',1,'3','-6','1','2','-9',6,'1','1','1','1','-9','-9','-9','-9','-9'
'100094500143',2,'3','-6','1','2','-9',4,'1','1','2','2','-9','-9','-9','-9','-9'
'100102770145',1,'3','-6','1','1','-9',1,'-6','2','2','1','-9','-9','-9','-9','1'
'100118120146',-9,'-9','-6','-9','-9','-9',-7,'-6','3','-9','1','1','1','-9','1','-9'
'100144510149',1,'3','-6','3','2','-9',5,'2','1','1','1','-9','-9','-9','-9','-9'
