control,ras,rah,rad,jras
'100006370140','13','1',5000,'-9'
'100006370140','37','2',5000,'-9'
'100006370140','63','2',65,'-9'
'100006520140','37','2',2900,'-9'
'100006520140','42','2',0,'-9'
'100006520140','57','2',2900,'-9'
'100006520140','58','2',2900,'-9'
'100006520140','63','2',0,'-9'
'100006520140','52','1',1700,'-9'
'100013500140','37','2',8000,'-9'
'100013500140','45','2',1000,'-9'
'100013500140','47','2',400,'-9'
'100013500140','53','2',400,'-9'
'100013500140','62','2',500,'-9'
'100013500140','71','2',4000,'-9'
'100013500140','52','2',6000,'-9'
'100014370140','42','2',500,'-9'
'100014370140','66','2',2000,'-9'
'100015770147','37','1',3000,'-9'
'100015770147','47','1',60,'-9'
'100022130103','66','2',1000,'-9'
'100022990149','37','2',14400,'-9'
'100022990149','61','1',600,'-9'
'100024720144','38','2',10000,'-9'
'100024720144','58','1',80,'-9'
'100024720144','61','1',300,'-9'
'100024720144','62','1',400,'-9'
'100027770146','63','1',100,'-9'
'100028130103','06','1',0,'-9'
'100028330140','38','2',1900,'-9'
'100028330140','57','2',2500,'-9'
'100028590144','02','1',1,'-9'
'100028590144','03','1',7000,'-9'
'100028590144','05','1',1,'-9'
'100028590144','62','1',150,'-9'
'100029130103','66','2',3600,'-9'
'100029750147','37','2',9000,'-9'
'100029750147','45','2',16000,'-9'
'100029750147','47','2',500,'-9'
'100029750147','62','2',400,'-9'
'100029750147','63','2',150,'-9'
'100029750147','72','2',25000,'-9'
'100029750147','74','2',300,'-9'
'100029750147','52','2',2800,'-9'
'100029750147','55','2',1500,'-9'
'100032300147','45','2',700,'-9'
'100032300147','52','2',2800,'-9'
'100032550147','37','2',2000,'-9'
'100043750145','69','2',2500,'-9'
'100048700148','13','1',500,'-9'
'100048700148','67','1',500,'-9'
'100048700148','52','1',1000,'-9'
'100049180149','37','2',12000,'-9'
'100056120140','70','2',1000,'-9'
'100056380140','52','2',2000,'-9'
'100059740145','62','2',600,'-9'
'100067760144','37','2',3000,'-9'
'100072130103','61','1',500,'-9'
'100077130103','66','1',400,'-9'
'100094190143','45','2',1000,'-9'
'100101360143','37','2',4500,'-9'
'100101360143','47','2',60,'-9'
'100107130103','66','1',2000,'-9'
'100107130103','67','1',1000,'-9'
'100107370148','63','1',-8,'-9'
'100107370148','52','2',-8,'-9'
'100121340142','53','2',-7,'-9'
'100121340142','58','2',-7,'-9'
'100121340142','62','2',0,'-9'
'100121340142','65','2',0,'-9'
'100121340142','72','-7',0,'-9'
'100121340142','52','2',4500,'-9'
'100126110140','45','2',2700,'-9'
'100126130103','62','2',611,'-9'
'100126130103','66','2',6000,'-9'
'100126130103','74','2',0,'-9'
'100129130103','67','2',6000,'-9'
'100143330149','63','2',150,'-9'
'100143330149','52','2',10000,'-9'
'100143710148','52','2',2200,'-9'
'100144510149','37','2',12000,'-9'
'100144510149','55','1',100,'-9'
'100150590148','03','2',8000,'-9'
'100150590148','42','2',1,'-9'
'100150590148','45','2',1000,'-9'
'100150590148','49','1',1,'-9'
'100150590148','52','2',1,'-9'
'100150590148','55','2',1,'-9'
'100150590148','64','2',7000,'-9'
'100157760141','37','2',4000,'-9'
'100157760141','62','2',650,'-9'
'100158370146','67','2',5000,'-9'
'100167710146','62','2',400,'-9'
'100167970146','45','2',400,'-9'
'100168390147','45','1',50,'-9'
'100168390147','53','1',400,'-9'
'100169130103','67','2',1800,'-9'
'100169740143','70','2',900,'-9'
'100173150143','58','2',2800,'-9'
'100173150143','52','2',1500,'-9'
'100173560143','52','2',500,'-9'
'100181360149','37','1',8031,'-9'
'100182130103','02','1',0,'-9'
'100182130103','03','1',0,'-9'
