control,ownhere,JWNHER
'100007130148','1','-9'
'100007390148','1','-9'
'100008700141','2','-9'
'100009170148','2','-9'
'100028170140','2','-9'
'100029520149','2','2'
'100052130241','-6','-9'
'100059730141','2','-9'
'100069100140','-6','-9'
'100069100249','-6','-9'
'100078300246','-6','-9'
'100094500143','2','-9'
'100102770145','1','-9'
'100107150146','2','2'
'100107560146','2','-9'
'100107710246','2','-9'
'100117130103','-6','-9'
'100118120146','1','2'
'100118130103','-6','-9'
'100120130145','2','-9'
'100140130103','-6','-9'
'100147150147','-6','-9'
'100152540147','2','-9'
'100168130147','2','-9'
'100169900143','1','2'
'100181100149','1','-9'
'100188160142','2','-9'
'100196960144','1','2'
'100202130103','-6','-9'
'100202570147','1','-9'
'100206390143','2','-9'
'100207110146','2','-9'
'100218130103','-6','-9'
'100218140140','-6','-9'
'100218550140','1','-9'
'100223120147','1','-9'
'100223120444','1','-9'
'100226720141','-6','-9'
'100229150145','2','-9'
'100229560145','2','2'
'100231700142','1','-9'
'100231700548','2','-9'
'100236130148','2','-9'
'100239760149','-6','-9'
'100243110142','-6','-9'
'100247590149','1','-9'
'100247900140','-6','-9'
'100260380142','-6','-9'
'100261430103','-6','-9'
'100261530103','1','-9'
'100261960149','2','-9'
'100267950144','1','-9'
'100269130143','2','-9'
'100269230103','-6','-9'
'100269540143','1','-9'
'100270180146','2','-9'
'100271150140','-6','-9'
'100273140140','-6','-9'
'100273300140','2','-9'
'100277380142','-6','-9'
'100284110140','2','-9'
'100284110249','2','-9'
'100284320141','2','-9'
'100284370140','2','-9'
'100289310147','-6','-9'
'100293380147','1','-9'
'100294390146','2','-9'
'100295230103','1','-9'
'100295990140','1','-9'
'100298120246','1','-9'
'100298120543','2','-9'
'100302750140','-6','-9'
'100303370149','-6','-9'
'100303520149','2','-9'
'100306130103','-6','-9'
'100306190149','2','-9'
'100306500149','-6','-9'
'100306750140','2','-9'
'100306910140','2','-9'
'100311130103','1','-9'
'100315390143','-6','-9'
'100317130103','2','-9'
'100317230303','2','-9'
'100317330203','2','-9'
'100319190149','2','2'
'100319500149','1','-9'
'100321140143','2','-9'
'100328180141','2','-9'
'100336330503','1','-9'
'100339330203','1','-9'
'100351180149','1','-9'
'100355130143','2','2'
'100355560147','2','-9'
'100356130103','2','-9'
'100356160148','1','-9'
'100356320148','-6','-9'
'100356570148','-6','-9'
'100358930144','1','-9'
'100363700340','2','-9'
'100363700449','2','2'
'100365530140','2','2'
'100365590147','-6','-9'
'100369130103','1','-9'
'100374170146','2','-9'
'100375950147','1','-9'
'100377130103','-6','-9'
'100380120149','1','-9'
'100380780140','2','-9'
'100381110145','2','-9'
'100382100142','2','2'
'100384720143','1','-9'
'100386130103','-6','-9'
'100407720144','-6','-9'
'100407980144','1','-9'
'100408230103','2','2'
'100410230103','1','-9'
'100411320147','2','-9'
'100411570147','1','-9'
'100423180145','2','2'
'100423590145','2','-9'
'100434530148','2','-9'
'100438130103','2','-9'
'100439130103','2','-9'
'100440180149','2','-9'
'100450560245','-6','-9'
'100451120141','2','-9'
'100452590143','2','-9'
'100468100143','2','-9'
'100485140147','2','-9'
'100485300147','2','-9'
'100492150148','2','-9'
'100492310148','1','-9'
'100493950141','2','-9'
'100494710149','2','-9'
'100497940144','1','-9'
'100506120345','1','-9'
'100527910141','1','-9'
'100529110140','2','-9'
'100536710147','2','-9'
'100546780147','1','-9'
'100548140148','2','-9'
'100558540148','2','2'
'100566340146','2','-9'
'100574940146','2','-9'
'100575110145','1','-9'
'100575170140','-6','-9'
'100596190146','2','-9'
'100596350146','2','-9'
'100596500146','1','-9'
'100597360146','-6','-9'
'100602350144','1','-9'
'100602500144','1','-9'
'100611710144','2','2'
'100611970144','-6','-9'
'100618140145','2','-9'
'100623330103','-6','-9'
'100633120146','1','-9'
'100633130103','2','-9'
'100635550140','1','-9'
'100638570145','1','-9'
'100645150144','1','-9'
'100650300147','-6','-9'
'100650330145','-6','-9'
'100650580145','1','-9'
'100651390145','2','-9'
'100653160144','1','-9'
'100653370146','2','-9'
'100654370146','-6','-9'
'100656720145','-6','-9'
'100661130103','-6','-9'
'100662340141','-6','-9'
'100664130103','1','-9'
'100664730146','2','2'
'100679140145','2','-9'
'100683140147','1','-9'
'100686160147','-6','-9'
'100697180144','2','-9'
'100697340144','2','-9'
'100716150147','2','-9'
'100717920148','2','-9'
'100743390145','1','-9'
'100755910143','1','-9'
'100763130103','-6','-9'
'100767560149','1','-9'
'100772900142','-6','-9'
'100778150142','2','-9'
'100782190143','2','-9'
'100783510146','1','2'
'100790790147','2','2'
'100792930147','2','2'
'100795170144','-6','-9'
'100795580144','-6','-9'
'100799150149','2','2'
'100800130103','2','-9'
'100805530146','2','-9'
'100809730146','1','-9'
'100814140143','2','-9'
'100824130103','-6','-9'
'100834100141','2','-9'
'100838380148','2','-9'
'100845140147','1','2'
'100848360149','2','2'
'100849380143','2','-9'
'100853110149','2','-9'
'100853770140','2','-9'
'100855940143','2','-9'
'100871160148','2','-9'
'100871550143','2','-9'
'100873130145','2','-9'
'100882530143','2','-9'
'100883140141','2','-9'
'100883700241','2','-9'
'100889310148','2','2'
'100898130103','-6','-9'
'100907130103','-6','-9'
'100910750143','1','-9'
'100914500142','2','2'
'100927130103','-6','-9'
'100928130103','-6','-9'
'100929990143','1','-9'
'100941520143','-6','-9'
'100942130103','1','-9'
'100948330145','2','-9'
'100951130103','-6','-9'
'100951510147','1','-9'
'100954230103','2','-9'
'100970540140','-6','-9'
'100988100140','2','-9'
'100992730148','2','-9'
'101045140148','1','2'
'101045550148','-6','-9'
'101086140141','2','-9'
'101094370140','1','-9'
'101129580149','2','-9'
'101129990140','-6','-9'
'101168150143','-6','-9'
'101169920140','1','-9'
'101173170140','-6','-9'
'101216140140','2','-9'
'101216140249','2','-9'
'101238980146','1','-9'
'101267970141','2','-9'
'101269560140','2','-9'
'101281160147','2','-9'
'101283120141','-6','-9'
'101295190146','2','-9'
'101295350146','1','-9'
'101302520146','1','-9'
'101303190142','1','2'
'101306110146','-6','-9'
'101319110146','-6','-9'
'101356590145','2','-9'
'101358790141','1','2'
'101379100144','2','-9'
'101380140146','1','-9'
'101380550146','2','-9'
'101408530140','-6','-9'
'101423360142','2','-9'
'101430990141','2','-9'
'101435360144','-6','-9'
'101482140240','2','-9'
'101483190149','2','-9'
'101492170145','2','-9'
'101493560147','1','-9'
'101497960141','2','-9'
'101512180149','2','-9'
'101530510145','1','-9'
'101536730144','2','2'
'101548320145','2','-9'
'101593580242','-6','-9'
'101618910147','1','-9'
'101622770147','2','2'
'101650500142','2','-9'
'101655920146','2','-9'
'101664910143','2','-9'
'101670940141','2','-9'
'101714960141','-6','-9'
'101743700141','-6','-9'
'101792790144','-6','-9'
'101818970148','2','-9'
'101828930147','1','-9'
'101839390143','1','-9'
'101845190245','1','-9'
'101850170140','1','-9'
'101850330140','2','2'
'101910520149','1','-9'
'101910930140','1','-9'
'101932380148','-6','-9'
'101961190146','1','-9'
'101969120147','2','-9'
'101969530147','1','-9'
'102051580341','1','-9'
'102089780147','2','-9'
'102107190140','2','2'
'102129350146','-6','-9'
'102196340147','2','-9'
'102250750141','1','-9'
'102250910141','2','-9'
'102261900143','1','-9'
'102295110143','-6','-9'
'102295370143','1','-9'
'102358150147','2','-9'
'102379380141','2','2'
'102389990143','2','2'
'102434320142','2','-9'
'102517720148','1','-9'
'102530380142','1','-9'
'102553170143','-6','-9'
'102553580143','1','-9'
'102577790144','1','-9'
'102579700148','-6','-9'
'102618770144','1','-9'
'102641710148','2','-9'
'102711930147','1','-9'
'102727980140','1','-9'
'102790730141','2','-9'
'102809760147','1','-9'
'102812580242','2','-9'
'102910390146','2','-9'
'102927120149','2','-9'
'102929110146','1','-9'
'102929520146','1','-9'
'102941310246','1','-9'
'102944190140','1','-9'
'102944350140','1','-9'
'103045180142','2','-9'
'103169140143','2','-9'
'103196510144','2','-9'
'103238920140','-6','-9'
'103250110147','2','2'
'103261360149','1','-9'
'103358580144','-6','-9'
'103383930144','2','2'
'103389190149','2','-9'
'103389750140','1','-9'
'103493190141','1','-9'
'103512120143','1','-9'
'103579980145','1','-9'
'103641990145','-6','-9'
'103670570144','1','-9'
'103751180145','-6','-9'
'103818910142','1','-9'
'103929390143','2','-9'
'104005710147','-6','-9'
'104129390140','2','2'
'104248780142','2','-9'
'104258790147','2','-9'
'104261120146','1','-9'
'104261380146','2','-9'
'104267370141','-6','-9'
'104482760143','-6','-9'
'104512300140','-6','-9'
'104579740142','1','-9'
'104589770144','2','-9'
'104638770147','-6','-9'
'104670590141','2','-9'
'104711970141','1','2'
'104818370148','2','-9'
'104934590143','-6','-9'
'104963770149','2','-9'
'105029530143','2','-9'
'105045540145','2','-9'
'105261970143','2','2'
'105383980147','2','-9'
'105389550340','2','2'
'105389550449','1','-9'
'105389700143','2','-9'
'105434130142','-6','-9'
'105434540142','1','-9'
'105494900141','2','2'
'105497130147','1','-9'
'105515590142','-6','-9'
'105548150142','2','2'
'105558140142','-6','-9'
'105558550142','1','2'
'105638550241','2','2'
'105670110147','-6','-9'
'105828140149','2','2'
'105929340146','1','-9'
'106319380140','2','-9'
'106389320149','2','2'
'106494360147','1','-9'
'106670390144','2','-9'
'106670540144','2','-9'
'106687360149','2','-9'
'106755380143','1','-9'
'106828320146','2','-9'
'107129100140','2','-9'
'107934310143','2','-9'
'108577320144','-6','-9'
'109517110145','1','-9'
'111029140143','2','-9'
'113433780143','2','-9'
'113497190141','2','-9'
'113649180147','1','-9'
'113649590147','2','2'
'115727300146','-6','-9'
'129042930113','-6','-9'
'129046930113','-6','-9'
'129069930113','-6','-9'
'129083930113','-6','-9'
'129093830113','2','-9'
'129105930113','-6','-9'
'129191730113','-6','-9'
'129191830113','-6','-9'
'129192530113','-6','-9'
'129250830113','-6','-9'
'129252930113','-6','-9'
'129321480140','-6','-9'
'129321970140','-6','-9'
'129324930113','-6','-9'
'129453930113','-6','-9'
'129477930113','1','-9'
'129480430147','-6','-9'
'129759830113','2','-9'
'129782830113','-6','-9'
'129782930113','2','-9'
'129837930113','-6','-9'
'139670780147','1','-9'
'139853190145','-6','-9'
'139853500145','2','-9'
'140711770141','2','-9'
'140929520140','-6','-9'
'141711390147','2','-9'
'141711540147','1','-9'
'141853790148','1','-9'
'141853950148','1','-9'
'142711150144','1','-9'
'142711560144','1','-9'
'142853710145','-6','-9'
'142853970145','2','-9'
'143711580141','2','-9'
'143853730142','1','2'
'143853990142','1','-9'
'144711190247','1','-9'
'144853190148','1','-9'
'144853350148','-6','-9'
'144929750149','2','-9'
'144929910149','1','-9'
'145357460141','-6','-9'
'145579150145','1','-9'
'145579310145','-6','-9'
'145711530144','1','-9'
'145853780145','-6','-9'
'146150710148','-6','-9'
'146711140141','-6','-9'
'146711550141','1','-9'
'146853700142','1','-9'
'146853960142','1','-9'
'147037190149','2','-9'
'147853570148','1','-9'
'147929720149','2','-9'
'147929980149','2','-9'
'148037520146','1','-9'
'148853340145','1','-9'
'149336770149','-6','-9'
'149853100142','1','-9'
'149853360142','1','-9'
'149929920143','1','-9'
'150670560147','2','-9'
'150711780147','1','-9'
'150711940147','1','-9'
'150929120146','2','-9'
'151579990145','-6','-9'
'151929140143','1','-9'
'151929550143','1','-9'
'152711720141','-6','-9'
'152929570140','1','-9'
'153711590147','-6','-9'
'155549640342','1','-9'
'156288250141','2','-9'
'156288660141','1','-9'
'156549400142','2','-9'
'157549270148','2','-9'
'157596420149','2','-9'
'157596830149','2','-9'
'158288040144','2','-9'
'158549600145','1','-9'
'158596440146','1','-9'
'158596850146','1','-9'
'159549210142','2','-9'
'159596460143','2','-9'
'159853110148','2','-9'
'160288640147','2','-9'
'160549890148','1','-9'
'161288250144','2','-9'
'161494310144','-6','-9'
'161494560144','2','-9'
'161596000143','2','-9'
'162288270141','1','-9'
'162288680141','2','-9'
'162596020140','1','-9'
'162711330147','-6','-9'
'163037780146','-6','-9'
'163549290148','1','-9'
'163549600148','2','-9'
'163596440149','1','-9'
'164549210145','2','-9'
'164579140142','1','-9'
'164926520145','1','-9'
'165037990149','2','-9'
'165288240141','1','-9'
'165579170148','-6','-9'
'165579330148','1','-9'
'165596090140','2','-9'
'165596090249','2','-9'
'166258960141','2','-9'
'166288010147','2','-9'
'166383300144','1','-9'
'166494570247','1','-9'
'166579350145','1','-9'
'166579500145','1','2'
'166926160148','1','2'
'166926570148','1','-9'
'167037770143','2','-9'
'167129160240','1','-9'
'167383160141','2','-9'
'167383320141','1','-9'
'167383570141','1','-9'
'167494180244','2','-9'
'167502900146','1','-9'
'167579110142','2','-9'
'167579370142','2','-9'
'167579520142','2','-9'
'167778980142','1','-9'
'167926180145','2','-9'
'168037540149','-6','-9'
'168037790140','1','-9'
'168129740149','1','-9'
'168288450341','1','-9'
'168549450242','1','-9'
'168778340148','1','-9'
'168778590148','1','-9'
'168926100142','2','-9'
'168926510142','-6','-9'
'169037150146','2','-9'
'169037310146','1','-9'
'169129760146','2','-9'
'169129920146','2','-9'
'169258100141','2','-9'
'169258360141','2','-9'
'169258510141','2','-9'
'169383360244','2','-9'
'169502940140','-6','-9'
'169550760142','-6','-9'
'169550920142','2','-9'
