control,ROTHE,rgroc,rclot,rcarp,rkidc,rmedi,rutil,rcost
'100014110140','1','-9','-9','-9','-9','-9','-9','-9'
'100069100249','2','1','-9','1','-9','1','-9','-9'
'100107710246','2','-9','-9','-9','-9','-9','-9','1'
'100147150147','2','-9','-9','-9','-9','-9','-9','-9'
'100152540147','2','-9','-9','-9','-9','-9','-9','-9'
'100218130103','2','1','-9','-9','-9','-9','-9','-9'
'100261430103','2','-9','1','-9','-9','-9','-9','-9'
'100269130143','2','-9','-9','-9','-9','-9','-9','-9'
'100269540143','2','-9','-9','-9','-9','-9','-9','-9'
'100269830103','2','-9','-9','-9','-9','-9','-9','-9'
'100270180146','2','-9','-9','-9','-9','-9','-9','-9'
'100284110140','2','1','1','1','-9','1','-9','-9'
'100294390146','2','-9','-9','-9','-9','-9','-9','-9'
'100295990140','2','-9','-9','-9','-9','-9','-9','-9'
'100303520149','2','-9','-9','-9','-9','-9','-9','-9'
'100306750140','2','-9','-9','-9','-9','-9','-9','-9'
'100317230303','2','-9','-9','-9','-9','-9','-9','-9'
'100339430103','2','-9','-9','-9','-9','-9','-9','-9'
'100369130103','1','-9','-9','-9','-9','-9','-9','-9'
'100380780140','2','-9','-9','-9','-9','-9','-9','-9'
'100408230103','2','-9','-9','-9','-9','-9','-9','-9'
'100410530143','2','-9','-9','-9','-9','-9','-9','-9'
'100411570147','2','-9','1','-9','-9','-9','-9','1'
'100423590145','1','-9','-9','-9','-9','-9','-9','-9'
'100426130103','2','-9','-9','-9','-9','-9','-9','-9'
'100447630203','1','-9','-9','-9','-9','-9','-9','-9'
'100604130103','2','-9','-9','-9','-9','-9','-9','1'
'100651390145','2','-9','-9','-9','-9','-9','-9','-9'
'100664130103','2','1','-9','-9','-9','1','-9','-9'
'100664730146','2','-9','-9','-9','-9','-9','-9','-9'
'100679140145','2','-9','-9','-9','-9','-9','-9','-9'
'100790790147','2','-9','-9','-9','-9','-9','-9','-9'
'100795170144','2','-9','-9','-9','-9','-9','-9','-9'
'100795580144','2','-9','-9','-9','-9','-9','-9','-9'
'100800230103','1','-9','-9','-9','-9','-9','-9','-9'
'100802130103','2','-9','-9','-9','-9','-9','1','-9'
'100845140147','2','-9','-9','-9','-9','-9','-9','-9'
'100878370143','2','-9','-9','-9','-9','-9','-9','-9'
'100889310148','2','-9','-9','-9','-9','-9','-9','-9'
'100938130133','2','1','-9','-9','-9','-9','-9','-9'
'100946130203','2','-9','-9','-9','-9','-9','-9','-9'
'101045140148','2','-9','-9','-9','-9','-9','-9','-9'
'101319030103','2','1','-9','-9','-9','-9','-9','-9'
'101410530103','2','-9','-9','-9','-9','-9','-9','-9'
'101492170145','2','1','1','1','-9','1','-9','-9'
'101497960141','2','-9','-9','-9','-9','-9','-9','-9'
'101618910147','2','1','1','-9','-9','1','-9','1'
'101839540143','2','-9','-9','-9','-9','-9','-9','-9'
'101850170140','-7','-9','-9','-9','-9','-9','-9','-9'
'103358580144','2','-9','-9','-9','-9','-9','-9','-9'
'104005710147','2','-9','-9','-9','-9','-9','-9','-9'
'104258790147','2','-9','-9','-9','-9','-9','-9','-9'
'104638770147','2','-9','-9','-9','-9','-9','-9','-9'
'105383980147','2','1','1','-9','-9','-9','-9','-9'
'105389960143','1','1','-9','-9','-9','-9','-9','-9'
'105515590142','2','-9','-9','-9','-9','-9','-9','-9'
'105558550142','2','-9','-9','-9','-9','-9','-9','-9'
'109410930146','2','-9','-9','-9','-9','-9','1','1'
'129186930113','2','-9','-9','-9','-9','-9','-9','-9'
'129321970140','2','-9','-9','-9','-9','-9','-9','-9'
'129477930113','2','1','-9','1','-9','1','-9','-9'
'141502830133','2','1','-9','-9','-9','-9','-9','-9'
'142853710145','2','-9','-9','-9','-9','-9','-9','-9'
