control,XINUS,XPER,XCOND,XCOOP,XCOST,XHEAD,XREL,XTEN,XUNIT,RMOV,MOVGRP,jovgrp,jxten,jxunit,jxper,jxhead
'100003130103','-9',2,'3','-6','-8','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100009170148','-9',2,'3','-6','3','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100013130103','-9',-8,'3','-6','-8','-8','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100013330103','-9',3,'3','-6','3','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'100013430203','-9',4,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100014110140','-9',4,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'100014130103','-9',4,'3','-6','2','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'100026130103','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100029530103','-9',2,'2','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100029930103','-9',5,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100033720143','-9',-8,'-8','-6','-8','-8','-6','2','-8',1,'1','-9','1','-9','-9','-9'
'100042130103','-9',3,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','1','-9'
'100047130103','-9',2,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100048130103','-9',7,'4','-6','3','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'100052130241','-9',3,'2','-6','3','2','2','3','1',1,'1','-9','-9','-9','-9','-9'
'100056130103','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'100056230303','-9',4,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100069100140','-9',10,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'100069100249','-9',4,'2','-6','2','1','-6','2','2',1,'1','-9','-9','-9','1','-9'
'100072430103','-9',3,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100077130103','-9',3,'3','-6','4','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'100077230103','-9',1,'3','-6','2','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'100078300246','-9',3,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100094130103','-9',4,'2','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100107130103','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'100107230103','-9',2,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'100107530103','-9',2,'2','-6','2','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'100107560146','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100107710246','-9',4,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'100107830103','-9',2,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100114720245','-9',5,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100126130103','-9',4,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100126330103','-9',5,'2','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100129330103','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'100138130103','-9',2,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'100141230103','-9',4,'3','-6','3','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'100141330103','-9',4,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100144230103','-9',4,'3','-6','1','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'100144230103','-9',5,'2','-6','1','2','1','1','2',2,'2','-9','-9','-9','-9','-9'
'100150340148','-9',4,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100152540147','-9',2,'3','-6','2','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'100157760141','1',-6,'-6','-6','-6','-6','-6','-6','-6',1,'1','-9','-9','-9','1','-9'
'100158130103','-9',3,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100158230103','-9',-6,'-6','-6','-6','-6','-6','-6','4',1,'1','-9','-9','-9','1','1'
'100158330103','-9',2,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','-9'
'100167230103','-9',1,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','1'
'100169130103','-9',5,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100169430103','-9',4,'3','-6','1','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'100173150143','-9',1,'2','-6','2','1','-6','1','3',1,'1','-9','-9','-9','-9','1'
'100173150143','-9',2,'2','-6','3','1','-6','3','1',2,'2','-9','-9','-9','-9','-9'
'100173330103','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'100176230103','-9',4,'3','-6','1','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100181100149','-9',3,'3','-6','1','2','2','2','2',1,'1','-9','-9','-9','-9','-9'
'100181330103','-9',5,'3','-6','3','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'100181510149','-9',5,'3','-6','3','2','1','1','1',1,'1','-9','-9','-9','-9','-9'
'100182390240','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'100188320142','-9',2,'3','-6','2','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100196330103','-9',1,'2','-6','3','1','-6','1','1',1,'1','-9','-9','-9','-9','1'
'100202130103','-9',3,'3','-6','3','1','-6','2','1',1,'1','-9','-9','-9','-9','-9'
'100202230103','-9',4,'3','-6','3','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100206130103','-9',3,'3','-6','1','2','2','2','2',1,'1','-9','-9','-9','-9','-9'
'100207110146','-9',1,'3','-6','1','1','-6','2','2',1,'1','-9','-9','-9','-9','1'
'100207230103','-9',2,'3','-6','3','1','-6','1','1',1,'1','-9','-9','-9','-9','-9'
'100216130103','-9',3,'3','-6','1','2','2','1','1',1,'1','-9','-9','-9','-9','-9'
